,Action,State (Before),State (After),Total Reward
56,0,[-0.14248048  0.62752193  0.01335451 -0.99056375],[-0.12993003  0.43222383 -0.00645677 -0.6937166 ],56
57,0,[-0.12993003  0.43222383 -0.00645677 -0.6937166 ],[-0.12128556  0.23719203 -0.0203311  -0.40307328],57
58,0,[-0.12128556  0.23719203 -0.0203311  -0.40307328],[-0.11654171  0.04236425 -0.02839256 -0.11686892],58
59,0,[-0.11654171  0.04236425 -0.02839256 -0.11686892],[-0.11569443 -0.15233962 -0.03072994  0.1667229 ],59
60,1,[-0.11569443 -0.15233962 -0.03072994  0.1667229 ],[-0.11874122  0.04320842 -0.02739548 -0.13549387],60
61,1,[-0.11874122  0.04320842 -0.02739548 -0.13549387],[-0.11787706  0.23871185 -0.03010536 -0.43669224],61
62,0,[-0.11787706  0.23871185 -0.03010536 -0.43669224],[-0.11310282  0.04402869 -0.03883921 -0.15364946],62
63,0,[-0.11310282  0.04402869 -0.03883921 -0.15364946],[-0.11222225 -0.15051624 -0.04191219  0.126532  ],63
64,0,[-0.11222225 -0.15051624 -0.04191219  0.126532  ],[-0.11523257 -0.34501347 -0.03938156  0.40570307],64
65,0,[-0.11523257 -0.34501347 -0.03938156  0.40570307],[-0.12213284 -0.5395555  -0.03126749  0.68571466],65
66,0,[-0.12213284 -0.5395555  -0.03126749  0.68571466],[-0.13292395 -0.73422974 -0.0175532   0.96839213],66
67,1,[-0.13292395 -0.73422974 -0.0175532   0.96839213],[-0.14760855 -0.53887653  0.00181464  0.67024714],67
68,1,[-0.14760855 -0.53887653  0.00181464  0.67024714],[-0.15838608 -0.34377986  0.01521958  0.3781361 ],68
69,1,[-0.15838608 -0.34377986  0.01521958  0.3781361 ],[-0.16526167 -0.14887734  0.02278231  0.09029054],69
70,1,[-0.16526167 -0.14887734  0.02278231  0.09029054],[-0.16823922  0.04591078  0.02458812 -0.1951184 ],70
71,1,[-0.16823922  0.04591078  0.02458812 -0.1951184 ],[-0.167321    0.24067254  0.02068575 -0.47994456],71
72,1,[-0.167321    0.24067254  0.02068575 -0.47994456],[-0.16250755  0.43549645  0.01108686 -0.76603675],72
73,1,[-0.16250755  0.43549645  0.01108686 -0.76603675],[-0.15379763  0.630464   -0.00423388 -1.0552106 ],73
74,0,[-0.15379763  0.630464   -0.00423388 -1.0552106 ],[-0.14118834  0.43539843 -0.02533809 -0.7638596 ],74
75,0,[-0.14118834  0.43539843 -0.02533809 -0.7638596 ],[-0.13248037  0.24063444 -0.04061528 -0.47925603],75
76,0,[-0.13248037  0.24063444 -0.04061528 -0.47925603],[-0.12766768  0.0461087  -0.0502004  -0.19964565],76
77,0,[-0.12766768  0.0461087  -0.0502004  -0.19964565],[-0.1267455  -0.14826065 -0.05419331  0.07678836],77
78,0,[-0.1267455  -0.14826065 -0.05419331  0.07678836],[-0.12971072 -0.3425655  -0.05265755  0.3518927 ],78
79,0,[-0.12971072 -0.3425655  -0.05265755  0.3518927 ],[-0.13656203 -0.53690064 -0.04561969  0.6275172 ],79
80,0,[-0.13656203 -0.53690064 -0.04561969  0.6275172 ],[-0.14730005 -0.73135716 -0.03306935  0.905491  ],80
81,0,[-0.14730005 -0.73135716 -0.03306935  0.905491  ],[-0.1619272  -0.9260161  -0.01495953  1.1875991 ],81
82,1,[-0.1619272  -0.9260161  -0.01495953  1.1875991 ],[-0.18044752 -0.7307034   0.00879245  0.8902649 ],82
83,1,[-0.18044752 -0.7307034   0.00879245  0.8902649 ],[-0.19506158 -0.5357019   0.02659775  0.60035884],83
84,1,[-0.19506158 -0.5357019   0.02659775  0.60035884],[-0.20577562 -0.3409619   0.03860493  0.31617105],84
85,1,[-0.20577562 -0.3409619   0.03860493  0.31617105],[-0.21259485 -0.14641048  0.04492835  0.03590839],85
86,1,[-0.21259485 -0.14641048  0.04492835  0.03590839],[-0.21552306  0.04803935  0.04564651 -0.24226753],86
87,1,[-0.21552306  0.04803935  0.04564651 -0.24226753],[-0.21456228  0.24248056  0.04080116 -0.52021015],87
88,1,[-0.21456228  0.24248056  0.04080116 -0.52021015],[-0.20971267  0.4370051   0.03039696 -0.7997619 ],88
89,1,[-0.20971267  0.4370051   0.03039696 -0.7997619 ],[-0.20097256  0.6316972   0.01440172 -1.0827298 ],89
90,0,[-0.20097256  0.6316972   0.01440172 -1.0827298 ],[-0.18833862  0.43638816 -0.00725287 -0.7855627 ],90
91,0,[-0.18833862  0.43638816 -0.00725287 -0.7855627 ],[-0.17961086  0.24136661 -0.02296413 -0.49517035],91
92,0,[-0.17961086  0.24136661 -0.02296413 -0.49517035],[-0.17478353  0.0465759  -0.03286753 -0.2098122 ],92
93,0,[-0.17478353  0.0465759  -0.03286753 -0.2098122 ],[-0.17385201 -0.14806105 -0.03706378  0.07232424],93
94,0,[-0.17385201 -0.14806105 -0.03706378  0.07232424],[-0.17681323 -0.3426326  -0.03561729  0.35308683],94
95,0,[-0.17681323 -0.3426326  -0.03561729  0.35308683],[-0.18366587 -0.53723043 -0.02855556  0.6343292 ],95
96,0,[-0.18366587 -0.53723043 -0.02855556  0.6343292 ],[-0.19441049 -0.73194265 -0.01586897  0.9178843 ],96
97,0,[-0.19441049 -0.73194265 -0.01586897  0.9178843 ],[-0.20904934 -0.9268465   0.00248872  1.205538  ],97
98,1,[-0.20904934 -0.9268465   0.00248872  1.205538  ],[-0.22758627 -0.7317568   0.02659948  0.913636  ],98
99,1,[-0.22758627 -0.7317568   0.02659948  0.913636  ],[-0.24222142 -0.5370046   0.0448722   0.62943035],99
100,1,[-0.24222142 -0.5370046   0.0448722   0.62943035],[-0.2529615 -0.3425366  0.0574608  0.35121  ],100
101,1,[-0.2529615 -0.3425366  0.0574608  0.35121  ],[-0.25981224 -0.14827688  0.06448501  0.07718551],101
102,1,[-0.25981224 -0.14827688  0.06448501  0.07718551],[-0.26277778  0.04586421  0.06602871 -0.19447541],102
103,1,[-0.26277778  0.04586421  0.06602871 -0.19447541],[-0.2618605   0.23998256  0.06213921 -0.4656201 ],103
104,1,[-0.2618605   0.23998256  0.06213921 -0.4656201 ],[-0.25706083  0.43417397  0.0528268  -0.73808783],104
105,1,[-0.25706083  0.43417397  0.0528268  -0.73808783],[-0.24837735  0.6285281   0.03806505 -1.0136886 ],105
106,1,[-0.24837735  0.6285281   0.03806505 -1.0136886 ],[-0.2358068   0.82312226  0.01779128 -1.2941798 ],106
107,0,[-0.2358068   0.82312226  0.01779128 -1.2941798 ],[-0.21934435  0.62777877 -0.00809232 -0.9959807 ],107
108,0,[-0.21934435  0.62777877 -0.00809232 -0.9959807 ],[-0.20678878  0.432766   -0.02801193 -0.7058502 ],108
109,0,[-0.20678878  0.432766   -0.02801193 -0.7058502 ],[-0.19813345  0.23804311 -0.04212894 -0.42211488],109
110,0,[-0.19813345  0.23804311 -0.04212894 -0.42211488],[-0.19337259  0.04354256 -0.05057123 -0.14300516],110
111,0,[-0.19337259  0.04354256 -0.05057123 -0.14300516],[-0.19250174 -0.15082003 -0.05343134  0.13330439],111
112,0,[-0.19250174 -0.15082003 -0.05343134  0.13330439],[-0.19551814 -0.34513754 -0.05076525  0.40866333],112
113,1,[-0.19551814 -0.34513754 -0.05076525  0.40866333],[-0.20242089 -0.14933394 -0.04259198  0.10041774],113
114,1,[-0.20242089 -0.14933394 -0.04259198  0.10041774],[-0.20540757  0.04637173 -0.04058363 -0.20539278],114
115,1,[-0.20540757  0.04637173 -0.04058363 -0.20539278],[-0.20448014  0.24204983 -0.04469148 -0.5105966 ],115
116,0,[-0.20448014  0.24204983 -0.04469148 -0.5105966 ],[-0.19963914  0.04758501 -0.05490341 -0.23232551],116
117,0,[-0.19963914  0.04758501 -0.05490341 -0.23232551],[-0.19868743 -0.14671122 -0.05954992  0.04254617],117
118,0,[-0.19868743 -0.14671122 -0.05954992  0.04254617],[-0.20162167 -0.3409309  -0.058699    0.315862  ],118
119,0,[-0.20162167 -0.3409309  -0.058699    0.315862  ],[-0.20844027 -0.5351698  -0.05238176  0.58947086],119
120,0,[-0.20844027 -0.5351698  -0.05238176  0.58947086],[-0.21914367 -0.7295206  -0.04059235  0.8652041 ],120
121,0,[-0.21914367 -0.7295206  -0.04059235  0.8652041 ],[-0.23373409 -0.92406726 -0.02328826  1.1448528 ],121
122,0,[-0.23373409 -0.92406726 -0.02328826  1.1448528 ],[-2.5221545e-01 -1.1188774e+00 -3.9120740e-04  1.4301426e+00],122
123,1,[-2.5221545e-01 -1.1188774e+00 -3.9120740e-04  1.4301426e+00],[-0.27459297 -0.9237506   0.02821164  1.1373374 ],123
124,1,[-0.27459297 -0.9237506   0.02821164  1.1373374 ],[-0.293068   -0.7290088   0.0509584   0.85363406],124
125,1,[-0.293068   -0.7290088   0.0509584   0.85363406],[-0.30764818 -0.53461707  0.06803107  0.5774003 ],125
126,1,[-0.30764818 -0.53461707  0.06803107  0.5774003 ],[-0.3183405  -0.3405113   0.07957908  0.30690086],126
127,1,[-0.3183405  -0.3405113   0.07957908  0.30690086],[-0.32515073 -0.14660817  0.0857171   0.04033823],127
128,1,[-0.32515073 -0.14660817  0.0857171   0.04033823],[-0.3280829   0.04718668  0.08652386 -0.22411682],128
129,1,[-0.3280829   0.04718668  0.08652386 -0.22411682],[-0.32713917  0.2409723   0.08204152 -0.48830155],129
130,1,[-0.32713917  0.2409723   0.08204152 -0.48830155],[-0.32231972  0.4348467   0.0722755  -0.75404185],130
131,1,[-0.32231972  0.4348467   0.0722755  -0.75404185],[-0.31362277  0.6289017   0.05719466 -1.023134  ],131
132,0,[-0.31362277  0.6289017   0.05719466 -1.023134  ],[-0.30104476  0.43306652  0.03673198 -0.71305543],132
133,0,[-0.30104476  0.43306652  0.03673198 -0.71305543],[-0.29238343  0.23745579  0.02247087 -0.40904045],133
134,0,[-0.29238343  0.23745579  0.02247087 -0.40904045],[-0.2876343   0.04202256  0.01429006 -0.10935876],134
135,0,[-0.2876343   0.04202256  0.01429006 -0.10935876],[-0.28679386 -0.15330122  0.01210289  0.18779813],135
136,0,[-0.28679386 -0.15330122  0.01210289  0.18779813],[-0.2898599  -0.34859422  0.01585885  0.48427433],136
137,1,[-0.2898599  -0.34859422  0.01585885  0.48427433],[-0.29683176 -0.15369962  0.02554433  0.1966315 ],137
138,1,[-0.29683176 -0.15369962  0.02554433  0.1966315 ],[-0.29990575  0.04104781  0.02947696 -0.08788512],138
139,1,[-0.29990575  0.04104781  0.02947696 -0.08788512],[-0.2990848   0.23573512  0.02771926 -0.37112424],139
140,1,[-0.2990848   0.23573512  0.02771926 -0.37112424],[-0.29437009  0.43045253  0.02029678 -0.6549397 ],140
141,1,[-0.29437009  0.43045253  0.02029678 -0.6549397 ],[-0.28576106  0.6252861   0.00719798 -0.941163  ],141
142,0,[-0.28576106  0.6252861   0.00719798 -0.941163  ],[-0.27325532  0.43006787 -0.01162528 -0.6462271 ],142
143,0,[-0.27325532  0.43006787 -0.01162528 -0.6462271 ],[-0.26465398  0.2351098  -0.02454982 -0.35722753],143
144,0,[-0.26465398  0.2351098  -0.02454982 -0.35722753],[-0.25995177  0.04034533 -0.03169437 -0.07238577],144
145,0,[-0.25995177  0.04034533 -0.03169437 -0.07238577],[-0.25914487 -0.15430824 -0.03314209  0.21013136],145
146,0,[-0.25914487 -0.15430824 -0.03314209  0.21013136],[-0.26223102 -0.34894103 -0.02893946  0.49217823],146
147,0,[-0.26223102 -0.34894103 -0.02893946  0.49217823],[-0.26920986 -0.54364306 -0.01909589  0.77560204],147
148,0,[-0.26920986 -0.54364306 -0.01909589  0.77560204],[-0.2800827  -0.73849726 -0.00358385  1.0622162 ],148
149,1,[-0.2800827  -0.73849726 -0.00358385  1.0622162 ],[-0.29485264 -0.54332805  0.01766047  0.7684105 ],149
150,1,[-0.29485264 -0.54332805  0.01766047  0.7684105 ],[-0.30571923 -0.34845358  0.03302868  0.48133633],150
151,1,[-0.30571923 -0.34845358  0.03302868  0.48133633],[-0.3126883  -0.15381302  0.0426554   0.19924341],151
152,1,[-0.3126883  -0.15381302  0.0426554   0.19924341],[-0.31576455  0.0406737   0.04664027 -0.07968444],152
153,1,[-0.31576455  0.0406737   0.04664027 -0.07968444],[-0.31495106  0.2350971   0.04504659 -0.35729513],153
154,1,[-0.31495106  0.2350971   0.04504659 -0.35729513],[-0.31024912  0.42955065  0.03790068 -0.63544035],154
155,1,[-0.31024912  0.42955065  0.03790068 -0.63544035],[-0.30165812  0.62412405  0.02519188 -0.9159507 ],155
156,1,[-0.30165812  0.62412405  0.02519188 -0.9159507 ],[-0.28917563  0.8188964   0.00687286 -1.200611  ],156
157,0,[-0.28917563  0.8188964   0.00687286 -1.200611  ],[-0.2727977   0.62368625 -0.01713936 -0.90578204],157
158,0,[-0.2727977   0.62368625 -0.01713936 -0.90578204],[-0.26032397  0.42880055 -0.035255   -0.6185351 ],158
159,0,[-0.26032397  0.42880055 -0.035255   -0.6185351 ],[-0.25174797  0.23418832 -0.0476257  -0.33716097],159
160,0,[-0.25174797  0.23418832 -0.0476257  -0.33716097],[-0.2470642   0.03977532 -0.05436892 -0.0598688 ],160
161,0,[-0.2470642   0.03977532 -0.05436892 -0.0598688 ],[-0.2462687  -0.15452665 -0.0555663   0.2151769 ],161
162,0,[-0.2462687  -0.15452665 -0.0555663   0.2151769 ],[-0.24935924 -0.34881198 -0.05126276  0.48982704],162
163,0,[-0.24935924 -0.34881198 -0.05126276  0.48982704],[-0.25633547 -0.5431747  -0.04146622  0.7659235 ],163
164,0,[-0.25633547 -0.5431747  -0.04146622  0.7659235 ],[-0.26719898 -0.7377019  -0.02614775  1.0452759 ],164
165,1,[-0.26719898 -0.7377019  -0.02614775  1.0452759 ],[-0.281953   -0.54224277 -0.00524223  0.7445009 ],165
166,1,[-0.281953   -0.54224277 -0.00524223  0.7445009 ],[-0.29279786 -0.34704888  0.00964779  0.4501728 ],166
167,1,[-0.29279786 -0.34704888  0.00964779  0.4501728 ],[-0.29973885 -0.15206471  0.01865125  0.16054657],167
168,1,[-0.29973885 -0.15206471  0.01865125  0.16054657],[-0.30278012  0.04278533  0.02186218 -0.1261945 ],168
169,1,[-0.30278012  0.04278533  0.02186218 -0.1261945 ],[-0.30192444  0.23758738  0.01933829 -0.4119008 ],169
170,0,[-0.30192444  0.23758738  0.01933829 -0.4119008 ],[-0.29717267  0.0421967   0.01110027 -0.11318446],170
171,0,[-0.29717267  0.0421967   0.01110027 -0.11318446],[-0.29632875 -0.15308253  0.00883658  0.18297976],171
172,1,[-0.29632875 -0.15308253  0.00883658  0.18297976],[-0.2993904   0.04191187  0.01249618 -0.10690251],172
173,1,[-0.2993904   0.04191187  0.01249618 -0.10690251],[-0.29855216  0.23685254  0.01035813 -0.3956169 ],173
174,1,[-0.29855216  0.23685254  0.01035813 -0.3956169 ],[-0.2938151   0.431826    0.00244579 -0.68501616],174
175,1,[-0.2938151   0.431826    0.00244579 -0.68501616],[-0.2851786   0.6269139  -0.01125454 -0.9769281 ],175
176,1,[-0.2851786   0.6269139  -0.01125454 -0.9769281 ],[-0.27264032  0.822185   -0.0307931  -1.2731249 ],176
177,0,[-0.27264032  0.822185   -0.0307931  -1.2731249 ],[-0.25619662  0.6274692  -0.05625559 -0.9902414 ],177
178,0,[-0.25619662  0.6274692  -0.05625559 -0.9902414 ],[-0.24364723  0.43314347 -0.07606042 -0.7157444 ],178
179,0,[-0.24364723  0.43314347 -0.07606042 -0.7157444 ],[-0.23498435  0.23915212 -0.09037531 -0.44793886],179
180,0,[-0.23498435  0.23915212 -0.09037531 -0.44793886],[-0.23020132  0.04541703 -0.09933409 -0.1850564 ],180
181,0,[-0.23020132  0.04541703 -0.09933409 -0.1850564 ],[-0.22929297 -0.14815369 -0.10303522  0.07471213],181
182,0,[-0.22929297 -0.14815369 -0.10303522  0.07471213],[-0.23225605 -0.3416592  -0.10154098  0.3331922 ],182
183,0,[-0.23225605 -0.3416592  -0.10154098  0.3331922 ],[-0.23908924 -0.53520036 -0.09487713  0.59220684],183
184,0,[-0.23908924 -0.53520036 -0.09487713  0.59220684],[-0.24979325 -0.728875   -0.083033    0.8535602 ],184
185,0,[-0.24979325 -0.728875   -0.083033    0.8535602 ],[-0.26437074 -0.92277294 -0.06596179  1.1190214 ],185
186,0,[-0.26437074 -0.92277294 -0.06596179  1.1190214 ],[-0.2828262  -1.1169704  -0.04358136  1.3903055 ],186
187,1,[-0.2828262  -1.1169704  -0.04358136  1.3903055 ],[-0.30516562 -0.9213336  -0.01577525  1.08432   ],187
188,1,[-0.30516562 -0.9213336  -0.01577525  1.08432   ],[-0.32359228 -0.7260071   0.00591115  0.786729  ],188
189,1,[-0.32359228 -0.7260071   0.00591115  0.786729  ],[-0.3381124  -0.5309669   0.02164573  0.49591157],189
190,1,[-0.3381124  -0.5309669   0.02164573  0.49591157],[-0.34873176 -0.33615673  0.03156396  0.21012817],190
191,1,[-0.34873176 -0.33615673  0.03156396  0.21012817],[-0.3554549  -0.14149997  0.03576652 -0.07243325],191
192,1,[-0.3554549  -0.14149997  0.03576652 -0.07243325],[-0.3582849   0.05309146  0.03431786 -0.3536206 ],192
193,1,[-0.3582849   0.05309146  0.03431786 -0.3536206 ],[-0.35722306  0.24770905  0.02724545 -0.63528764],193
194,1,[-0.35722306  0.24770905  0.02724545 -0.63528764],[-0.35226887  0.4424406   0.0145397  -0.91926736],194
195,0,[-0.35226887  0.4424406   0.0145397  -0.91926736],[-0.34342006  0.24712516 -0.00384565 -0.62205064],195
196,0,[-0.34342006  0.24712516 -0.00384565 -0.62205064],[-0.33847755  0.05205713 -0.01628667 -0.3305814 ],196
197,0,[-0.33847755  0.05205713 -0.01628667 -0.3305814 ],[-0.33743644 -0.14282924 -0.02289829 -0.04307867],197
198,0,[-0.33743644 -0.14282924 -0.02289829 -0.04307867],[-0.34029302 -0.3376155  -0.02375987  0.24229258],198
199,0,[-0.34029302 -0.3376155  -0.02375987  0.24229258],[-0.34704533 -0.5323901  -0.01891402  0.5273873 ],199
200,1,[-0.34704533 -0.5323901  -0.01891402  0.5273873 ],[-0.3576931  -0.33700722 -0.00836627  0.22880504],200
201,1,[-0.3576931  -0.33700722 -0.00836627  0.22880504],[-0.36443326 -0.14176673 -0.00379017 -0.06650513],201
202,1,[-0.36443326 -0.14176673 -0.00379017 -0.06650513],[-0.3672686   0.05340936 -0.00512027 -0.36038145],202
203,1,[-0.3672686   0.05340936 -0.00512027 -0.36038145],[-0.36620042  0.24860372 -0.0123279  -0.65467453],203
204,0,[-0.36620042  0.24860372 -0.0123279  -0.65467453],[-0.36122835  0.05365556 -0.02542139 -0.36589882],204
205,0,[-0.36122835  0.05365556 -0.02542139 -0.36589882],[-0.36015522 -0.14109609 -0.03273937 -0.08133882],205
206,0,[-0.36015522 -0.14109609 -0.03273937 -0.08133882],[-0.36297715 -0.3357338  -0.03436614  0.20083763],206
207,0,[-0.36297715 -0.3357338  -0.03436614  0.20083763],[-0.36969182 -0.5303478  -0.03034939  0.48248464],207
208,0,[-0.36969182 -0.5303478  -0.03034939  0.48248464],[-0.3802988  -0.7250286  -0.0206997   0.76544994],208
209,0,[-0.3802988  -0.7250286  -0.0206997   0.76544994],[-0.39479935 -0.91985947 -0.0053907   1.0515484 ],209
210,0,[-0.39479935 -0.91985947 -0.0053907   1.0515484 ],[-0.41319653 -1.1149095   0.01564027  1.3425343 ],210
211,1,[-0.41319653 -1.1149095   0.01564027  1.3425343 ],[-0.43549472 -0.9199878   0.04249096  1.0547856 ],211
212,1,[-0.43549472 -0.9199878   0.04249096  1.0547856 ],[-0.4538945  -0.7254541   0.06358667  0.775737  ],212
213,1,[-0.4538945  -0.7254541   0.06358667  0.775737  ],[-0.46840358 -0.5312617   0.07910141  0.5037189 ],213
214,1,[-0.46840358 -0.5312617   0.07910141  0.5037189 ],[-0.4790288  -0.33733845  0.08917578  0.23697524],214
215,1,[-0.4790288  -0.33733845  0.08917578  0.23697524],[-0.48577556 -0.14359619  0.09391529 -0.02630043],215
216,1,[-0.48577556 -0.14359619  0.09391529 -0.02630043],[-0.4886475   0.05006223  0.09338928 -0.28793743],216
217,1,[-0.4886475   0.05006223  0.09338928 -0.28793743],[-0.48764625  0.24373692  0.08763053 -0.54976696],217
218,1,[-0.48764625  0.24373692  0.08763053 -0.54976696],[-0.48277152  0.43752575  0.0766352  -0.8136044 ],218
219,1,[-0.48277152  0.43752575  0.0766352  -0.8136044 ],[-0.474021    0.6315192   0.06036311 -1.0812318 ],219
220,0,[-0.474021    0.6315192   0.06036311 -1.0812318 ],[-0.4613906   0.43565458  0.03873847 -0.77023405],220
221,0,[-0.4613906   0.43565458  0.03873847 -0.77023405],[-0.45267752  0.24002151  0.02333379 -0.4656183 ],221
