,Action,State (Before),State (After),Total Reward
46,1,[-0.0727917  -0.23577966 -0.00224986  0.21400371],[-0.07750729 -0.04062561  0.00203022 -0.07938807],46
47,1,[-0.07750729 -0.04062561  0.00203022 -0.07938807],[-0.0783198   0.15446718  0.00044246 -0.37142977],47
48,1,[-0.0783198   0.15446718  0.00044246 -0.37142977],[-0.07523046  0.34958285 -0.00698614 -0.66397315],48
49,1,[-0.07523046  0.34958285 -0.00698614 -0.66397315],[-0.0682388  0.5448013 -0.0202656 -0.9588476],49
50,1,[-0.0682388  0.5448013 -0.0202656 -0.9588476],[-0.05734278  0.74018973 -0.03944255 -1.2578278 ],50
51,0,[-0.05734278  0.74018973 -0.03944255 -1.2578278 ],[-0.04253898  0.54559416 -0.06459911 -0.9777545 ],51
52,0,[-0.04253898  0.54559416 -0.06459911 -0.9777545 ],[-0.0316271   0.35139507 -0.0841542  -0.7060424 ],52
53,0,[-0.0316271   0.35139507 -0.0841542  -0.7060424 ],[-0.0245992   0.15753366 -0.09827504 -0.4409915 ],53
54,0,[-0.0245992   0.15753366 -0.09827504 -0.4409915 ],[-0.02144852 -0.03607018 -0.10709488 -0.18083335],54
55,0,[-0.02144852 -0.03607018 -0.10709488 -0.18083335],[-0.02216993 -0.22950964 -0.11071154  0.07623772],55
56,0,[-0.02216993 -0.22950964 -0.11071154  0.07623772],[-0.02676012 -0.42288467 -0.10918679  0.33204168],56
57,0,[-0.02676012 -0.42288467 -0.10918679  0.33204168],[-0.03521781 -0.6162968  -0.10254595  0.58839506],57
58,0,[-0.03521781 -0.6162968  -0.10254595  0.58839506],[-0.04754375 -0.80984455 -0.09077805  0.8470959 ],58
59,0,[-0.04754375 -0.80984455 -0.09077805  0.8470959 ],[-0.06374064 -1.0036187  -0.07383613  1.1099082 ],59
60,0,[-0.06374064 -1.0036187  -0.07383613  1.1099082 ],[-0.08381302 -1.1976969  -0.05163797  1.3785443 ],60
61,1,[-0.08381302 -1.1976969  -0.05163797  1.3785443 ],[-0.10776696 -1.0019696  -0.02406709  1.0701698 ],61
62,1,[-0.10776696 -1.0019696  -0.02406709  1.0701698 ],[-0.12780635 -0.8065378  -0.00266369  0.7700319 ],62
63,1,[-0.12780635 -0.8065378  -0.00266369  0.7700319 ],[-0.14393711 -0.6113793   0.01273695  0.47651207],63
64,1,[-0.14393711 -0.6113793   0.01273695  0.47651207],[-0.15616469 -0.4164395   0.02226719  0.18787065],64
65,1,[-0.15616469 -0.4164395   0.02226719  0.18787065],[-0.16449349 -0.22164308  0.0260246  -0.09770552],65
66,1,[-0.16449349 -0.22164308  0.0260246  -0.09770552],[-0.16892634 -0.0269036   0.02407049 -0.38206547],66
67,1,[-0.16892634 -0.0269036   0.02407049 -0.38206547],[-0.16946441  0.16786845  0.01642918 -0.6670629 ],67
68,0,[-0.16946441  0.16786845  0.01642918 -0.6670629 ],[-0.16610704 -0.02747809  0.00308793 -0.36925265],68
69,0,[-0.16610704 -0.02747809  0.00308793 -0.36925265],[-0.16665661 -0.22264378 -0.00429713 -0.07559765],69
70,0,[-0.16665661 -0.22264378 -0.00429713 -0.07559765],[-0.17110948 -0.41770387 -0.00580908  0.21572642],70
71,0,[-0.17110948 -0.41770387 -0.00580908  0.21572642],[-0.17946357 -0.6127423  -0.00149455  0.5065713 ],71
72,0,[-0.17946357 -0.6127423  -0.00149455  0.5065713 ],[-0.1917184  -0.80784315  0.00863688  0.7987828 ],72
73,0,[-0.1917184  -0.80784315  0.00863688  0.7987828 ],[-0.20787527 -1.0030825   0.02461253  1.0941702 ],73
74,1,[-0.20787527 -1.0030825   0.02461253  1.0941702 ],[-0.22793692 -0.8082933   0.04649593  0.8093102 ],74
75,1,[-0.22793692 -0.8082933   0.04649593  0.8093102 ],[-0.24410279 -0.61383826  0.06268214  0.5316077 ],75
76,1,[-0.24410279 -0.61383826  0.06268214  0.5316077 ],[-0.25637954 -0.41965136  0.07331429  0.25931594],76
77,1,[-0.25637954 -0.41965136  0.07331429  0.25931594],[-0.26477256 -0.22564845  0.07850061 -0.00937163],77
78,1,[-0.26477256 -0.22564845  0.07850061 -0.00937163],[-0.26928556 -0.03173494  0.07831318 -0.27629066],78
79,1,[-0.26928556 -0.03173494  0.07831318 -0.27629066],[-0.26992023  0.16218746  0.07278737 -0.54328215],79
80,1,[-0.26992023  0.16218746  0.07278737 -0.54328215],[-0.2666765   0.35621506  0.06192172 -0.81217235],80
81,1,[-0.2666765   0.35621506  0.06192172 -0.81217235],[-0.25955218  0.5504367   0.04567828 -1.084753  ],81
82,0,[-0.25955218  0.5504367   0.04567828 -1.084753  ],[-0.24854346  0.3547428   0.02398322 -0.7780937 ],82
83,0,[-0.24854346  0.3547428   0.02398322 -0.7780937 ],[-0.24144861  0.1592994   0.00842134 -0.47796252],83
84,0,[-0.24144861  0.1592994   0.00842134 -0.47796252],[-0.23826262 -0.03594043 -0.00113791 -0.1826373 ],84
85,0,[-0.23826262 -0.03594043 -0.00113791 -0.1826373 ],[-0.23898143 -0.23104608 -0.00479065  0.10968643],85
86,0,[-0.23898143 -0.23104608 -0.00479065  0.10968643],[-0.24360235 -0.42609906 -0.00259693  0.4008541 ],86
87,0,[-0.24360235 -0.42609906 -0.00259693  0.4008541 ],[-0.25212434 -0.62118405  0.00542016  0.69271713],87
88,0,[-0.25212434 -0.62118405  0.00542016  0.69271713],[-0.264548   -0.8163808   0.0192745   0.98710144],88
89,1,[-0.264548   -0.8163808   0.0192745   0.98710144],[-0.28087562 -0.6215222   0.03901653  0.70053416],89
90,1,[-0.28087562 -0.6215222   0.03901653  0.70053416],[-0.29330608 -0.4269622   0.05302721  0.42038426],90
91,1,[-0.29330608 -0.4269622   0.05302721  0.42038426],[-0.3018453  -0.23263012  0.06143489  0.14487855],91
92,1,[-0.3018453  -0.23263012  0.06143489  0.14487855],[-0.3064979  -0.03843932  0.06433247 -0.12780762],92
93,1,[-0.3064979  -0.03843932  0.06433247 -0.12780762],[-0.3072667   0.15570487  0.06177631 -0.39952078],93
94,1,[-0.3072667   0.15570487  0.06177631 -0.39952078],[-0.3041526   0.34989858  0.0537859  -0.672105  ],94
95,1,[-0.3041526   0.34989858  0.0537859  -0.672105  ],[-0.29715464  0.5442332   0.0403438  -0.94738   ],95
96,1,[-0.29715464  0.5442332   0.0403438  -0.94738   ],[-0.28626996  0.7387894   0.0213962  -1.227119  ],96
97,0,[-0.28626996  0.7387894   0.0213962  -1.227119  ],[-0.27149418  0.5433986  -0.00314618 -0.9278099 ],97
98,0,[-0.27149418  0.5433986  -0.00314618 -0.9278099 ],[-0.2606262   0.34831932 -0.02170238 -0.63611734],98
99,0,[-0.2606262   0.34831932 -0.02170238 -0.63611734],[-0.2536598   0.15350665 -0.03442472 -0.35034713],99
100,0,[-0.2536598   0.15350665 -0.03442472 -0.35034713],[-0.2505897  -0.04110924 -0.04143167 -0.06871513],100
101,0,[-0.2505897  -0.04110924 -0.04143167 -0.06871513],[-0.25141189 -0.23561345 -0.04280597  0.2106134 ],101
102,0,[-0.25141189 -0.23561345 -0.04280597  0.2106134 ],[-0.25612414 -0.43009806 -0.0385937   0.48949194],102
103,0,[-0.25612414 -0.43009806 -0.0385937   0.48949194],[-0.2647261  -0.6246549  -0.02880386  0.76976615],103
104,0,[-0.2647261  -0.6246549  -0.02880386  0.76976615],[-0.2772192  -0.8193688  -0.01340854  1.0532488 ],104
105,0,[-0.2772192  -0.8193688  -0.01340854  1.0532488 ],[-0.29360658 -1.0143105   0.00765644  1.3416929 ],105
106,1,[-0.29360658 -1.0143105   0.00765644  1.3416929 ],[-0.31389278 -0.8192857   0.03449029  1.0514153 ],106
107,1,[-0.31389278 -0.8192857   0.03449029  1.0514153 ],[-0.3302785 -0.6246377  0.0555186  0.7697551],107
108,1,[-0.3302785 -0.6246377  0.0555186  0.7697551],[-0.34277126 -0.43032205  0.0709137   0.4950448 ],108
109,0,[-0.34277126 -0.43032205  0.0709137   0.4950448 ],[-0.3513777  -0.62636864  0.08081459  0.8092067 ],109
110,0,[-0.3513777  -0.62636864  0.08081459  0.8092067 ],[-0.36390507 -0.82249945  0.09699873  1.1261765 ],110
111,1,[-0.36390507 -0.82249945  0.09699873  1.1261765 ],[-0.38035506 -0.62877303  0.11952226  0.8654257 ],111
112,1,[-0.38035506 -0.62877303  0.11952226  0.8654257 ],[-0.3929305  -0.4354629   0.13683078  0.6125851 ],112
113,1,[-0.3929305  -0.4354629   0.13683078  0.6125851 ],[-0.4016398  -0.24249168  0.14908248  0.3659366 ],113
114,1,[-0.4016398  -0.24249168  0.14908248  0.3659366 ],[-0.4064896  -0.04976794  0.1564012   0.12372568],114
115,1,[-0.4064896  -0.04976794  0.1564012   0.12372568],[-0.40748498  0.14280783  0.15887572 -0.11581746],115
116,1,[-0.40748498  0.14280783  0.15887572 -0.11581746],[-0.4046288   0.3353389   0.15655938 -0.35446367],116
117,1,[-0.4046288   0.3353389   0.15655938 -0.35446367],[-0.39792204  0.5279286   0.1494701  -0.59397435],117
118,1,[-0.39792204  0.5279286   0.1494701  -0.59397435],[-0.38736346  0.7206772   0.13759062 -0.8360928 ],118
119,1,[-0.38736346  0.7206772   0.13759062 -0.8360928 ],[-0.37294993  0.9136786   0.12086876 -1.0825348 ],119
120,1,[-0.37294993  0.9136786   0.12086876 -1.0825348 ],[-0.35467634  1.1070161   0.09921806 -1.3349763 ],120
121,0,[-0.35467634  1.1070161   0.09921806 -1.3349763 ],[-0.332536    0.91079366  0.07251853 -1.012968  ],121
122,0,[-0.332536    0.91079366  0.07251853 -1.012968  ],[-0.31432015  0.71478313  0.05225917 -0.6984232 ],122
123,0,[-0.31432015  0.71478313  0.05225917 -0.6984232 ],[-0.30002448  0.51897705  0.03829071 -0.38975778],123
124,0,[-0.30002448  0.51897705  0.03829071 -0.38975778],[-0.28964496  0.32333314  0.03049555 -0.08525232],124
125,0,[-0.28964496  0.32333314  0.03049555 -0.08525232],[-0.28317827  0.12778762  0.02879051  0.21689387],125
126,0,[-0.28317827  0.12778762  0.02879051  0.21689387],[-0.28062254 -0.06773382  0.03312838  0.51851773],126
127,0,[-0.28062254 -0.06773382  0.03312838  0.51851773],[-0.2819772  -0.26330614  0.04349874  0.8214532 ],127
128,1,[-0.2819772  -0.26330614  0.04349874  0.8214532 ],[-0.28724334 -0.06880553  0.0599278   0.5427629 ],128
129,1,[-0.28724334 -0.06880553  0.0599278   0.5427629 ],[-0.28861943  0.12542526  0.07078306  0.2695479 ],129
130,1,[-0.28861943  0.12542526  0.07078306  0.2695479 ],[-2.8611094e-01  3.1946945e-01  7.6174021e-02  3.3135927e-06],130
131,1,[-2.8611094e-01  3.1946945e-01  7.6174021e-02  3.3135927e-06],[-0.27972156  0.513421    0.07617409 -0.26770684],131
132,1,[-0.27972156  0.513421    0.07617409 -0.26770684],[-0.26945314  0.70737785  0.07081995 -0.53542495],132
133,1,[-0.26945314  0.70737785  0.07081995 -0.53542495],[-0.25530556  0.9014362   0.06011145 -0.80497915],133
134,1,[-0.25530556  0.9014362   0.06011145 -0.80497915],[-0.23727685  1.0956849   0.04401186 -1.0781637 ],134
135,1,[-0.23727685  1.0956849   0.04401186 -1.0781637 ],[-0.21536314  1.2901988   0.02244859 -1.3567168 ],135
136,1,[-0.21536314  1.2901988   0.02244859 -1.3567168 ],[-0.18955918  1.485032   -0.00468574 -1.6422936 ],136
137,0,[-0.18955918  1.485032   -0.00468574 -1.6422936 ],[-0.15985854  1.2899653  -0.03753161 -1.3510743 ],137
138,0,[-0.15985854  1.2899653  -0.03753161 -1.3510743 ],[-0.13405924  1.0953343  -0.0645531  -1.0703652 ],138
139,0,[-0.13405924  1.0953343  -0.0645531  -1.0703652 ],[-0.11215255  0.90112257 -0.0859604  -0.79861975],139
140,0,[-0.11215255  0.90112257 -0.0859604  -0.79861975],[-0.09413009  0.7072785  -0.1019328  -0.5341685 ],140
141,0,[-0.09413009  0.7072785  -0.1019328  -0.5341685 ],[-0.07998452  0.5137266  -0.11261617 -0.27526402],141
142,0,[-0.07998452  0.5137266  -0.11261617 -0.27526402],[-0.06970999  0.32037646 -0.11812145 -0.02011522],142
143,0,[-0.06970999  0.32037646 -0.11812145 -0.02011522],[-0.06330246  0.12712917 -0.11852375  0.23308884],143
144,0,[-0.06330246  0.12712917 -0.11852375  0.23308884],[-0.06075988 -0.06611741 -0.11386198  0.4861606 ],144
145,0,[-0.06075988 -0.06611741 -0.11386198  0.4861606 ],[-0.06208223 -0.25946406 -0.10413876  0.7408995 ],145
146,0,[-0.06208223 -0.25946406 -0.10413876  0.7408995 ],[-0.06727151 -0.45300594 -0.08932077  0.99907804],146
147,0,[-0.06727151 -0.45300594 -0.08932077  0.99907804],[-0.07633162 -0.6468277  -0.06933922  1.2624263 ],147
148,0,[-0.07633162 -0.6468277  -0.06933922  1.2624263 ],[-0.08926818 -0.84099793 -0.04409069  1.5326123 ],148
149,1,[-0.08926818 -0.84099793 -0.04409069  1.5326123 ],[-0.10608814 -0.6453733  -0.01343844  1.2265022 ],149
150,1,[-0.10608814 -0.6453733  -0.01343844  1.2265022 ],[-0.11899561 -0.45008096  0.0110916   0.9296393 ],150
151,1,[-0.11899561 -0.45008096  0.0110916   0.9296393 ],[-0.12799722 -0.25511047  0.02968439  0.6404624 ],151
152,1,[-0.12799722 -0.25511047  0.02968439  0.6404624 ],[-0.13309944 -0.06041466  0.04249363  0.35727325],152
153,1,[-0.13309944 -0.06041466  0.04249363  0.35727325],[-0.13430773  0.13407822  0.0496391   0.07828667],153
154,1,[-0.13430773  0.13407822  0.0496391   0.07828667],[-0.13162616  0.32845473  0.05120483 -0.19833104],154
155,1,[-0.13162616  0.32845473  0.05120483 -0.19833104],[-0.12505707  0.5228083   0.04723821 -0.4744317 ],155
156,1,[-0.12505707  0.5228083   0.04723821 -0.4744317 ],[-0.1146009   0.71723247  0.03774958 -0.7518597 ],156
157,0,[-0.1146009   0.71723247  0.03774958 -0.7518597 ],[-0.10025626  0.52161086  0.02271239 -0.44754058],157
158,0,[-0.10025626  0.52161086  0.02271239 -0.44754058],[-0.08982404  0.32617506  0.01376157 -0.1477857 ],158
159,0,[-0.08982404  0.32617506  0.01376157 -0.1477857 ],[-0.08330054  0.1308588   0.01080586  0.14920677],159
160,0,[-0.08330054  0.1308588   0.01080586  0.14920677],[-0.08068336 -0.06441621  0.01379     0.44527906],160
161,0,[-0.08068336 -0.06441621  0.01379     0.44527906],[-0.08197168 -0.25973052  0.02269558  0.7422768 ],161
162,1,[-0.08197168 -0.25973052  0.02269558  0.7422768 ],[-0.08716629 -0.0649291   0.03754111  0.45682183],162
163,1,[-0.08716629 -0.0649291   0.03754111  0.45682183],[-0.08846488  0.12964256  0.04667755  0.17620447],163
164,1,[-0.08846488  0.12964256  0.04667755  0.17620447],[-0.08587202  0.3240665   0.05020164 -0.10139557],164
165,1,[-0.08587202  0.3240665   0.05020164 -0.10139557],[-0.0793907   0.5184344   0.04817373 -0.37782702],165
166,1,[-0.0793907   0.5184344   0.04817373 -0.37782702],[-0.06902201  0.71284026  0.04061719 -0.6549399 ],166
167,1,[-0.06902201  0.71284026  0.04061719 -0.6549399 ],[-0.0547652   0.90737385  0.02751839 -0.9345615 ],167
168,1,[-0.0547652   0.90737385  0.02751839 -0.9345615 ],[-0.03661773  1.102114    0.00882716 -1.2184718 ],168
169,1,[-0.03661773  1.102114    0.00882716 -1.2184718 ],[-0.01457545  1.297121   -0.01554228 -1.5083758 ],169
170,0,[-0.01457545  1.297121   -0.01554228 -1.5083758 ],[ 0.01136697  1.1021909  -0.04570979 -1.2205851 ],170
171,0,[ 0.01136697  1.1021909  -0.04570979 -1.2205851 ],[ 0.03341079  0.9076869  -0.07012149 -0.94256777],171
172,0,[ 0.03341079  0.9076869  -0.07012149 -0.94256777],[ 0.05156453  0.71357626 -0.08897284 -0.67271626],172
173,0,[ 0.05156453  0.71357626 -0.08897284 -0.67271626],[ 0.06583606  0.5197963  -0.10242717 -0.40931958],173
174,0,[ 0.06583606  0.5197963  -0.10242717 -0.40931958],[ 0.07623198  0.3262644  -0.11061356 -0.15060413],174
175,0,[ 0.07623198  0.3262644  -0.11061356 -0.15060413],[ 0.08275727  0.13288587 -0.11362565  0.10523681],175
176,0,[ 0.08275727  0.13288587 -0.11362565  0.10523681],[ 0.08541498 -0.06043988 -0.11152091  0.36002135],176
177,0,[ 0.08541498 -0.06043988 -0.11152091  0.36002135],[ 0.08420619 -0.25381452 -0.10432048  0.6155622 ],177
178,0,[ 0.08420619 -0.25381452 -0.10432048  0.6155622 ],[ 0.0791299  -0.44733614 -0.09200924  0.8736519 ],178
179,1,[ 0.0791299  -0.44733614 -0.09200924  0.8736519 ],[ 0.07018317 -0.25109172 -0.0745362   0.5535179 ],179
180,1,[ 0.07018317 -0.25109172 -0.0745362   0.5535179 ],[ 0.06516134 -0.05500658 -0.06346584  0.23831345],180
181,1,[ 0.06516134 -0.05500658 -0.06346584  0.23831345],[ 0.06406121  0.14096193 -0.05869957 -0.07369393],181
182,1,[ 0.06406121  0.14096193 -0.05869957 -0.07369393],[ 0.06688045  0.33687413 -0.06017345 -0.38430387],182
183,1,[ 0.06688045  0.33687413 -0.06017345 -0.38430387],[ 0.07361793  0.53279644 -0.06785953 -0.6953358 ],183
184,0,[ 0.07361793  0.53279644 -0.06785953 -0.6953358 ],[ 0.08427386  0.33867806 -0.08176625 -0.42476374],184
185,0,[ 0.08427386  0.33867806 -0.08176625 -0.42476374],[ 0.09104742  0.14480379 -0.09026152 -0.15893644],185
186,0,[ 0.09104742  0.14480379 -0.09026152 -0.15893644],[ 0.0939435  -0.04891774 -0.09344025  0.10396209],186
187,0,[ 0.0939435  -0.04891774 -0.09344025  0.10396209],[ 0.09296514 -0.24258503 -0.09136101  0.36576426],187
188,0,[ 0.09296514 -0.24258503 -0.09136101  0.36576426],[ 0.08811344 -0.43629792 -0.08404572  0.628299  ],188
189,0,[ 0.08811344 -0.43629792 -0.08404572  0.628299  ],[ 0.07938749 -0.6301526  -0.07147974  0.89337426],189
190,0,[ 0.07938749 -0.6301526  -0.07147974  0.89337426],[ 0.06678443 -0.8242361  -0.05361226  1.162759  ],190
191,1,[ 0.06678443 -0.8242361  -0.05361226  1.162759  ],[ 0.05029971 -0.62845856 -0.03035708  0.85376006],191
192,1,[ 0.05029971 -0.62845856 -0.03035708  0.85376006],[ 0.03773054 -0.43293625 -0.01328188  0.5516882 ],192
193,1,[ 0.03773054 -0.43293625 -0.01328188  0.5516882 ],[ 0.02907181 -0.23763031 -0.00224811  0.25485036],193
194,0,[ 0.02907181 -0.23763031 -0.00224811  0.25485036],[ 0.02431921 -0.4327201   0.00284889  0.5468233 ],194
195,0,[ 0.02431921 -0.4327201   0.00284889  0.5468233 ],[ 0.01566481 -0.62788194  0.01378536  0.8404025 ],195
196,0,[ 0.01566481 -0.62788194  0.01378536  0.8404025 ],[ 0.00310717 -0.8231894   0.03059341  1.1373886 ],196
197,1,[ 0.00310717 -0.8231894   0.03059341  1.1373886 ],[-0.01335662 -0.6284806   0.05334118  0.8544552 ],197
198,1,[-0.01335662 -0.6284806   0.05334118  0.8544552 ],[-0.02592623 -0.43412465  0.07043029  0.5790107 ],198
199,1,[-0.02592623 -0.43412465  0.07043029  0.5790107 ],[-0.03460873 -0.24005675  0.0820105   0.30931997],199
200,1,[-0.03460873 -0.24005675  0.0820105   0.30931997],[-0.03940986 -0.04619323  0.0881969   0.04358611],200
201,1,[-0.03940986 -0.04619323  0.0881969   0.04358611],[-0.04033373  0.14756057  0.08906862 -0.22001867],201
202,1,[-0.04033373  0.14756057  0.08906862 -0.22001867],[-0.03738251  0.3413039   0.08466825 -0.48333013],202
203,1,[-0.03738251  0.3413039   0.08466825 -0.48333013],[-0.03055643  0.53513527  0.07500165 -0.7481729 ],203
204,1,[-0.03055643  0.53513527  0.07500165 -0.7481729 ],[-0.01985373  0.72914684  0.06003819 -1.0163423 ],204
205,1,[-0.01985373  0.72914684  0.06003819 -1.0163423 ],[-0.00527079  0.92341906  0.03971134 -1.289585  ],205
206,0,[-0.00527079  0.92341906  0.03971134 -1.289585  ],[ 0.01319759  0.7278152   0.01391964 -0.9847384 ],206
207,0,[ 0.01319759  0.7278152   0.01391964 -0.9847384 ],[ 0.02775389  0.53250957 -0.00577512 -0.6877161 ],207
208,0,[ 0.02775389  0.53250957 -0.00577512 -0.6877161 ],[ 0.03840408  0.33746824 -0.01952945 -0.3968569 ],208
209,0,[ 0.03840408  0.33746824 -0.01952945 -0.3968569 ],[ 0.04515345  0.14262874 -0.02746659 -0.11039466],209
210,0,[ 0.04515345  0.14262874 -0.02746659 -0.11039466],[ 0.04800602 -0.05208907 -0.02967448  0.17349774],210
211,0,[ 0.04800602 -0.05208907 -0.02967448  0.17349774],[ 0.04696424 -0.24677403 -0.02620452  0.4566736 ],211
212,1,[ 0.04696424 -0.24677403 -0.02620452  0.4566736 ],[ 0.04202876 -0.05129159 -0.01707105  0.15584736],212
213,1,[ 0.04202876 -0.05129159 -0.01707105  0.15584736],[ 0.04100293  0.14407057 -0.0139541  -0.14217183],213
214,1,[ 0.04100293  0.14407057 -0.0139541  -0.14217183],[ 0.04388434  0.33938956 -0.01679754 -0.43922415],214
215,0,[ 0.04388434  0.33938956 -0.01679754 -0.43922415],[ 0.05067213  0.14450933 -0.02558202 -0.1518833 ],215
216,0,[ 0.05067213  0.14450933 -0.02558202 -0.1518833 ],[ 0.05356232 -0.05023716 -0.02861969  0.13262054],216
217,0,[ 0.05356232 -0.05023716 -0.02861969  0.13262054],[ 0.05255758 -0.2449377  -0.02596728  0.41613874],217
218,0,[ 0.05255758 -0.2449377  -0.02596728  0.41613874],[ 0.04765882 -0.4396822  -0.01764451  0.70052344],218
219,0,[ 0.04765882 -0.4396822  -0.01764451  0.70052344],[ 0.03886518 -0.63455516 -0.00363404  0.9876002 ],219
220,1,[ 0.03886518 -0.63455516 -0.00363404  0.9876002 ],[ 0.02617407 -0.43938473  0.01611797  0.6937781 ],220
