,Action,State (Before),State (After),Total Reward
11,0,"[116   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 173 159   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  28  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  19 117  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[120   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 133  36   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  29  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  18 122  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
12,0,"[120   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 133  36   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  29  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  18 122  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[124   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  99 194   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  30  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  17 127  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
13,4,"[124   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  99 194   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  30  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  17 127  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[128   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 178 170   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  31  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  16 132  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
14,4,"[128   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 178 170   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  31  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  16 132  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[132   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  18 120   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   0  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  16 132  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
15,4,"[132   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  18 120   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   0  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  16 132  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[136   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 116  66   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   1  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  15 137  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
16,4,"[136   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 116  66   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   1  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  15 137  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[140   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 215  11   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   2  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  14 142  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
17,4,"[140   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 215  11   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   2  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  14 142  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[144   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  68 218   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   3  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  13 147  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
18,4,"[144   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  68 218   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   3  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  13 147  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[148   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 235 205   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   4  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  12 152  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
19,4,"[148   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 235 205   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   4  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  12 152  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[152   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  36 185   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   5  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  12 152  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
20,4,"[152   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  36 185   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   5  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  12 152  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[156   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  30  74   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   6  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  11 157  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
21,4,"[156   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  30  74   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   6  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  11 157  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[160   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 207 106   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   7  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  10 162  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
22,0,"[160   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 207 106   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   7  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  10 162  32   0 191  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[164   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 196 207   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   8  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   9 167  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
23,2,"[164   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 196 207   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   8  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   9 167  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[168   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 215 136   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   9  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   8 172  32   0 239  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
24,2,"[168   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 215 136   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255   9  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   8 172  32   0 239  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[172   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 124  67   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  10  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   8 172  32   0 239  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
25,2,"[172   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 124  67   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  10  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   8 172  32   0 239  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[176   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2   5 185   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  11  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6   7 177  32   0 239  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
