,Action,State (Before),State (After),Total Reward
26,1,[ 0.06693567  0.18829188  0.02895409 -0.07859396],[ 0.0707015   0.38298705  0.02738222 -0.362003  ],26
27,1,[ 0.0707015   0.38298705  0.02738222 -0.362003  ],[ 0.07836125  0.5777093   0.02014215 -0.64592755],27
28,1,[ 0.07836125  0.5777093   0.02014215 -0.64592755],[ 0.08991543  0.7725449   0.0072236  -0.93220025],28
29,1,[ 0.08991543  0.7725449   0.0072236  -0.93220025],[ 0.10536633  0.96756864 -0.0114204  -1.2226045 ],29
30,1,[ 0.10536633  0.96756864 -0.0114204  -1.2226045 ],[ 0.1247177   1.1628358  -0.03587249 -1.5188438 ],30
31,0,[ 0.1247177   1.1628358  -0.03587249 -1.5188438 ],[ 0.14797442  0.9681655  -0.06624936 -1.2375703 ],31
32,0,[ 0.14797442  0.9681655  -0.06624936 -1.2375703 ],[ 0.16733773  0.7739543  -0.09100077 -0.96635556],32
33,0,[ 0.16733773  0.7739543  -0.09100077 -0.96635556],[ 0.18281682  0.5801645  -0.11032788 -0.70359105],33
34,0,[ 0.18281682  0.5801645  -0.11032788 -0.70359105],[ 0.1944201   0.3867304  -0.1243997  -0.44757465],34
35,0,[ 0.1944201   0.3867304  -0.1243997  -0.44757465],[ 0.20215471  0.19356753 -0.13335119 -0.19654863],35
36,0,[ 0.20215471  0.19356753 -0.13335119 -0.19654863],[ 0.20602606  0.00058006 -0.13728216  0.05127338],36
37,0,[ 0.20602606  0.00058006 -0.13728216  0.05127338],[ 0.20603767 -0.1923337  -0.1362567   0.2976872 ],37
38,0,[ 0.20603767 -0.1923337  -0.1362567   0.2976872 ],[ 0.202191   -0.38527688 -0.13030295  0.5444839 ],38
39,0,[ 0.202191   -0.38527688 -0.13030295  0.5444839 ],[ 0.19448546 -0.57835025 -0.11941328  0.793438  ],39
40,0,[ 0.19448546 -0.57835025 -0.11941328  0.793438  ],[ 0.18291844 -0.7716483  -0.10354452  1.0462962 ],40
41,1,[ 0.18291844 -0.7716483  -0.10354452  1.0462962 ],[ 0.16748548 -0.57531583 -0.08261859  0.72298706],41
42,1,[ 0.16748548 -0.57531583 -0.08261859  0.72298706],[ 0.15597917 -0.37915424 -0.06815885  0.40548608],42
43,0,[ 0.15597917 -0.37915424 -0.06815885  0.40548608],[ 0.14839607 -0.5732468  -0.06004913  0.6759257 ],43
44,0,[ 0.14839607 -0.5732468  -0.06004913  0.6759257 ],[ 0.13693115 -0.76748514 -0.04653062  0.9491143 ],44
45,0,[ 0.13693115 -0.76748514 -0.04653062  0.9491143 ],[ 0.12158144 -0.96195084 -0.02754833  1.226822  ],45
46,0,[ 0.12158144 -0.96195084 -0.02754833  1.226822  ],[ 0.10234243 -1.1567075  -0.00301189  1.510748  ],46
47,1,[ 0.10234243 -1.1567075  -0.00301189  1.510748  ],[ 0.07920828 -0.9615492   0.02720307  1.2171265 ],47
48,1,[ 0.07920828 -0.9615492   0.02720307  1.2171265 ],[ 0.05997729 -0.7667885   0.0515456   0.9330901 ],48
49,1,[ 0.05997729 -0.7667885   0.0515456   0.9330901 ],[ 0.04464152 -0.5723984   0.0702074   0.65704   ],49
50,1,[ 0.04464152 -0.5723984   0.0702074   0.65704   ],[ 0.03319355 -0.3783204   0.0833482   0.38726413],50
51,1,[ 0.03319355 -0.3783204   0.0833482   0.38726413],[ 0.02562715 -0.18447436  0.09109348  0.1219805 ],51
52,1,[ 0.02562715 -0.18447436  0.09109348  0.1219805 ],[ 0.02193766  0.00923242  0.09353309 -0.14063051],52
53,1,[ 0.02193766  0.00923242  0.09353309 -0.14063051],[ 0.02212231  0.20289896  0.09072048 -0.4024019 ],53
54,1,[ 0.02212231  0.20289896  0.09072048 -0.4024019 ],[ 0.02618029  0.39662495  0.08267245 -0.66516066],54
55,1,[ 0.02618029  0.39662495  0.08267245 -0.66516066],[ 0.03411279  0.59050554  0.06936923 -0.93071026],55
56,1,[ 0.03411279  0.59050554  0.06936923 -0.93071026],[ 0.04592289  0.7846262   0.05075503 -1.2008127 ],56
57,0,[ 0.04592289  0.7846262   0.05075503 -1.2008127 ],[ 0.06161542  0.5888858   0.02673877 -0.8926646 ],57
58,0,[ 0.06161542  0.5888858   0.02673877 -0.8926646 ],[ 0.07339314  0.39341158  0.00888548 -0.5916978 ],58
59,0,[ 0.07339314  0.39341158  0.00888548 -0.5916978 ],[ 0.08126137  0.19816637 -0.00294848 -0.29622927],59
60,0,[ 0.08126137  0.19816637 -0.00294848 -0.29622927],[ 0.0852247   0.00308657 -0.00887306 -0.00447771],60
61,0,[ 0.0852247   0.00308657 -0.00887306 -0.00447771],[ 0.08528642 -0.19190702 -0.00896261  0.2853925 ],61
62,0,[ 0.08528642 -0.19190702 -0.00896261  0.2853925 ],[ 0.08144829 -0.3869     -0.00325476  0.57523525],62
63,1,[ 0.08144829 -0.3869     -0.00325476  0.57523525],[ 0.07371029 -0.19173257  0.00824994  0.28152877],63
64,1,[ 0.07371029 -0.19173257  0.00824994  0.28152877],[ 0.06987564  0.00327073  0.01388052 -0.00854078],64
65,1,[ 0.06987564  0.00327073  0.01388052 -0.00854078],[ 0.06994105  0.1981909   0.0137097  -0.29681212],65
66,1,[ 0.06994105  0.1981909   0.0137097  -0.29681212],[ 0.07390486  0.39311475  0.00777346 -0.5851399 ],66
67,1,[ 0.07390486  0.39311475  0.00777346 -0.5851399 ],[ 0.08176716  0.58812696 -0.00392934 -0.875364  ],67
68,1,[ 0.08176716  0.58812696 -0.00392934 -0.875364  ],[ 0.0935297   0.7833021  -0.02143662 -1.1692797 ],68
69,1,[ 0.0935297   0.7833021  -0.02143662 -1.1692797 ],[ 0.10919575  0.9786962  -0.04482221 -1.4686054 ],69
70,0,[ 0.10919575  0.9786962  -0.04482221 -1.4686054 ],[ 0.12876967  0.78415054 -0.07419432 -1.1902533 ],70
71,0,[ 0.12876967  0.78415054 -0.07419432 -1.1902533 ],[ 0.14445268  0.59006435 -0.09799939 -0.921718  ],71
72,0,[ 0.14445268  0.59006435 -0.09799939 -0.921718  ],[ 0.15625396  0.39639342 -0.11643375 -0.66137123],72
73,0,[ 0.15625396  0.39639342 -0.11643375 -0.66137123],[ 0.16418183  0.20306757 -0.12966117 -0.40750015],73
74,0,[ 0.16418183  0.20306757 -0.12966117 -0.40750015],[ 0.16824318  0.0099996  -0.13781117 -0.15834285],74
75,0,[ 0.16824318  0.0099996  -0.13781117 -0.15834285],[ 0.16844317 -0.18290785 -0.14097804  0.08788653],75
76,0,[ 0.16844317 -0.18290785 -0.14097804  0.08788653],[ 0.16478501 -0.3757571  -0.1392203   0.3329802 ],76
77,0,[ 0.16478501 -0.3757571  -0.1392203   0.3329802 ],[ 0.15726988 -0.5686513  -0.1325607   0.5787233 ],77
78,0,[ 0.15726988 -0.5686513  -0.1325607   0.5787233 ],[ 0.14589685 -0.7616908  -0.12098623  0.8268833 ],78
79,0,[ 0.14589685 -0.7616908  -0.12098623  0.8268833 ],[ 0.13066304 -0.95496905 -0.10444856  1.0791981 ],79
80,1,[ 0.13066304 -0.95496905 -0.10444856  1.0791981 ],[ 0.11156365 -0.7586346  -0.0828646   0.75564945],80
81,1,[ 0.11156365 -0.7586346  -0.0828646   0.75564945],[ 0.09639096 -0.56247413 -0.06775162  0.43808404],81
82,1,[ 0.09639096 -0.56247413 -0.06775162  0.43808404],[ 0.08514148 -0.3664619  -0.05898993  0.1248365 ],82
83,1,[ 0.08514148 -0.3664619  -0.05898993  0.1248365 ],[ 0.07781224 -0.17054665 -0.0564932  -0.18585822],83
84,1,[ 0.07781224 -0.17054665 -0.0564932  -0.18585822],[ 0.0744013   0.02533618 -0.06021037 -0.49581388],84
85,0,[ 0.0744013   0.02533618 -0.06021037 -0.49581388],[ 0.07490803 -0.16888733 -0.07012665 -0.2226977 ],85
86,0,[ 0.07490803 -0.16888733 -0.07012665 -0.2226977 ],[ 0.07153028 -0.36294052 -0.0745806   0.04706632],86
87,0,[ 0.07153028 -0.36294052 -0.0745806   0.04706632],[ 0.06427147 -0.5569182  -0.07363927  0.31531763],87
88,0,[ 0.06427147 -0.5569182  -0.07363927  0.31531763],[ 0.05313311 -0.75091815 -0.06733292  0.58389854],88
89,0,[ 0.05313311 -0.75091815 -0.06733292  0.58389854],[ 0.03811475 -0.94503546 -0.05565495  0.85463375],89
90,0,[ 0.03811475 -0.94503546 -0.05565495  0.85463375],[ 0.01921404 -1.1393565  -0.03856228  1.1293099 ],90
91,0,[ 0.01921404 -1.1393565  -0.03856228  1.1293099 ],[-0.00357309 -1.3339528  -0.01597608  1.4096528 ],91
92,1,[-0.00357309 -1.3339528  -0.01597608  1.4096528 ],[-0.03025215 -1.1386364   0.01221698  1.1120188 ],92
93,1,[-0.03025215 -1.1386364   0.01221698  1.1120188 ],[-0.05302488 -0.943677    0.03445736  0.8231933 ],93
94,1,[-0.05302488 -0.943677    0.03445736  0.8231933 ],[-0.07189842 -0.749043    0.05092122  0.541544  ],94
95,1,[-0.07189842 -0.749043    0.05092122  0.541544  ],[-0.08687928 -0.5546723   0.0617521   0.2653303 ],95
96,1,[-0.08687928 -0.5546723   0.0617521   0.2653303 ],[-0.09797273 -0.36048362  0.06705871 -0.00725397],96
97,1,[-0.09797273 -0.36048362  0.06705871 -0.00725397],[-0.10518239 -0.16638428  0.06691363 -0.2780481 ],97
98,1,[-0.10518239 -0.16638428  0.06691363 -0.2780481 ],[-0.10851008  0.02772244  0.06135267 -0.5488987 ],98
99,1,[-0.10851008  0.02772244  0.06135267 -0.5488987 ],[-0.10795563  0.22193131  0.05037469 -0.8216375 ],99
100,1,[-0.10795563  0.22193131  0.05037469 -0.8216375 ],[-0.10351701  0.41632915  0.03394194 -1.0980605 ],100
101,0,[-0.10351701  0.41632915  0.03394194 -1.0980605 ],[-0.09519043  0.22077718  0.01198074 -0.79492444],101
102,0,[-0.09519043  0.22077718  0.01198074 -0.79492444],[-0.09077488  0.02549286 -0.00391775 -0.49849674],102
103,0,[-0.09077488  0.02549286 -0.00391775 -0.49849674],[-0.09026502 -0.16957363 -0.01388769 -0.20705105],103
104,0,[-0.09026502 -0.16957363 -0.01388769 -0.20705105],[-0.0936565  -0.36449426 -0.01802871  0.08121885],104
105,0,[-0.0936565  -0.36449426 -0.01802871  0.08121885],[-0.10094638 -0.5593532  -0.01640433  0.3681596 ],105
106,0,[-0.10094638 -0.5593532  -0.01640433  0.3681596 ],[-0.11213344 -0.75423825 -0.00904114  0.6556252 ],106
107,0,[-0.11213344 -0.75423825 -0.00904114  0.6556252 ],[-0.12721822 -0.9492332   0.00407136  0.94544756],107
108,0,[-0.12721822 -0.9492332   0.00407136  0.94544756],[-0.14620288 -1.1444098   0.02298032  1.239407  ],108
109,1,[-0.14620288 -1.1444098   0.02298032  1.239407  ],[-0.16909108 -0.9495903   0.04776845  0.9540106 ],109
110,1,[-0.16909108 -0.9495903   0.04776845  0.9540106 ],[-0.18808287 -0.75514245  0.06684867  0.67671007],110
111,1,[-0.18808287 -0.75514245  0.06684867  0.67671007],[-0.20318572 -0.5610099   0.08038287  0.40580052],111
112,1,[-0.20318572 -0.5610099   0.08038287  0.40580052],[-0.21440592 -0.36711437  0.08849888  0.13950348],112
113,1,[-0.21440592 -0.36711437  0.08849888  0.13950348],[-0.22174822 -0.17336407  0.09128895 -0.12399989],113
114,1,[-0.22174822 -0.17336407  0.09128895 -0.12399989],[-0.2252155   0.02033951  0.08880895 -0.38654372],114
115,1,[-0.2252155   0.02033951  0.08880895 -0.38654372],[-0.22480871  0.2140959   0.08107807 -0.6499574 ],115
116,1,[-0.22480871  0.2140959   0.08107807 -0.6499574 ],[-0.22052678  0.40800047  0.06807893 -0.91604793],116
117,1,[-0.22052678  0.40800047  0.06807893 -0.91604793],[-0.21236677  0.60213906  0.04975797 -1.1865815 ],117
118,0,[-0.21236677  0.60213906  0.04975797 -1.1865815 ],[-0.200324    0.40640843  0.02602634 -0.8787261 ],118
119,0,[-0.200324    0.40640843  0.02602634 -0.8787261 ],[-0.19219582  0.21094267  0.00845182 -0.5779759 ],119
120,0,[-0.19219582  0.21094267  0.00845182 -0.5779759 ],[-0.18797697  0.01570329 -0.0031077  -0.28264248],120
121,0,[-0.18797697  0.01570329 -0.0031077  -0.28264248],[-0.1876629  -0.17937419 -0.00876055  0.00905867],121
122,0,[-0.1876629  -0.17937419 -0.00876055  0.00905867],[-0.19125038 -0.3743694  -0.00857938  0.2989647 ],122
123,0,[-0.19125038 -0.3743694  -0.00857938  0.2989647 ],[-0.19873779 -0.569368   -0.00260008  0.58892953],123
124,0,[-0.19873779 -0.569368   -0.00260008  0.58892953],[-0.21012513 -0.7644535   0.00917851  0.8807923 ],124
125,0,[-0.21012513 -0.7644535   0.00917851  0.8807923 ],[-0.2254142  -0.9596989   0.02679436  1.1763465 ],125
126,1,[-0.2254142  -0.9596989   0.02679436  1.1763465 ],[-0.2446082  -0.7649351   0.05032128  0.8921823 ],126
127,1,[-0.2446082  -0.7649351   0.05032128  0.8921823 ],[-0.2599069  -0.57053053  0.06816493  0.61573285],127
128,1,[-0.2599069  -0.57053053  0.06816493  0.61573285],[-0.2713175  -0.37642384  0.08047959  0.3452739 ],128
129,1,[-0.2713175  -0.37642384  0.08047959  0.3452739 ],[-0.27884597 -0.18253346  0.08738507  0.07901516],129
130,1,[-0.27884597 -0.18253346  0.08738507  0.07901516],[-0.28249663  0.01123418  0.08896537 -0.18486874],130
131,1,[-0.28249663  0.01123418  0.08896537 -0.18486874],[-0.28227195  0.204978    0.085268   -0.44821385],131
132,1,[-0.28227195  0.204978    0.085268   -0.44821385],[-0.2781724   0.39879686  0.07630372 -0.7128474 ],132
133,1,[-0.2781724   0.39879686  0.07630372 -0.7128474 ],[-0.27019647  0.59278405  0.06204677 -0.98057   ],133
134,1,[-0.27019647  0.59278405  0.06204677 -0.98057   ],[-0.25834078  0.78702193  0.04243537 -1.2531362 ],134
135,1,[-0.25834078  0.78702193  0.04243537 -1.2531362 ],[-0.24260035  0.9815754   0.01737265 -1.5322315 ],135
136,0,[-0.24260035  0.9815754   0.01737265 -1.5322315 ],[-0.22296883  0.7862485  -0.01327198 -1.234178  ],136
137,0,[-0.22296883  0.7862485  -0.01327198 -1.234178  ],[-0.20724386  0.59129965 -0.03795554 -0.9456822 ],137
138,0,[-0.20724386  0.59129965 -0.03795554 -0.9456822 ],[-0.19541788  0.39670888 -0.05686918 -0.66516256],138
139,0,[-0.19541788  0.39670888 -0.05686918 -0.66516256],[-0.1874837   0.20242216 -0.07017244 -0.39091414],139
140,0,[-0.1874837   0.20242216 -0.07017244 -0.39091414],[-0.18343525  0.00836264 -0.07799072 -0.12115502],140
141,0,[-0.18343525  0.00836264 -0.07799072 -0.12115502],[-0.183268   -0.18556033 -0.08041382  0.14593917],141
142,0,[-0.183268   -0.18556033 -0.08041382  0.14593917],[-0.1869792  -0.37944412 -0.07749503  0.41220888],142
143,0,[-0.1869792  -0.37944412 -0.07749503  0.41220888],[-0.19456808 -0.5733869  -0.06925086  0.6794892 ],143
144,0,[-0.19456808 -0.5733869  -0.06925086  0.6794892 ],[-0.20603582 -0.76748204 -0.05566107  0.9495906 ],144
145,0,[-0.20603582 -0.76748204 -0.05566107  0.9495906 ],[-0.22138546 -0.9618123  -0.03666926  1.2242787 ],145
146,1,[-0.22138546 -0.9618123  -0.03666926  1.2242787 ],[-0.24062172 -0.7662378  -0.01218369  0.9203357 ],146
147,1,[-0.24062172 -0.7662378  -0.01218369  0.9203357 ],[-0.25594646 -0.5709533   0.00622303  0.62384886],147
148,1,[-0.25594646 -0.5709533   0.00622303  0.62384886],[-0.26736555 -0.37591878  0.0187      0.3331323 ],148
149,1,[-0.26736555 -0.37591878  0.0187      0.3331323 ],[-0.27488393 -0.18106791  0.02536265  0.04640458],149
150,1,[-0.27488393 -0.18106791  0.02536265  0.04640458],[-0.27850527  0.01368134  0.02629074 -0.23816954],150
151,1,[-0.27850527  0.01368134  0.02629074 -0.23816954],[-0.27823165  0.20841803  0.02152735 -0.522445  ],151
152,0,[-0.27823165  0.20841803  0.02152735 -0.522445  ],[-0.2740633   0.01299979  0.01107845 -0.22305705],152
153,0,[-0.2740633   0.01299979  0.01107845 -0.22305705],[-0.2738033  -0.18227874  0.00661731  0.07309976],153
154,0,[-0.2738033  -0.18227874  0.00661731  0.07309976],[-0.27744886 -0.37749493  0.0080793   0.36786312],154
155,0,[-0.27744886 -0.37749493  0.0080793   0.36786312],[-0.28499877 -0.5727307   0.01543657  0.66308254],155
156,0,[-0.28499877 -0.5727307   0.01543657  0.66308254],[-0.2964534  -0.768064    0.02869822  0.9605857 ],156
157,0,[-0.2964534  -0.768064    0.02869822  0.9605857 ],[-0.31181467 -0.9635597   0.04790993  1.2621447 ],157
158,1,[-0.31181467 -0.9635597   0.04790993  1.2621447 ],[-0.33108586 -0.769082    0.07315283  0.98484296],158
159,1,[-0.33108586 -0.769082    0.07315283  0.98484296],[-0.3464675  -0.57501215  0.09284969  0.71600443],159
160,1,[-0.3464675  -0.57501215  0.09284969  0.71600443],[-0.35796773 -0.38128963  0.10716978  0.45393097],160
161,1,[-0.35796773 -0.38128963  0.10716978  0.45393097],[-0.36559352 -0.18783335  0.11624839  0.19685903],161
162,1,[-0.36559352 -0.18783335  0.11624839  0.19685903],[-0.3693502   0.00545053  0.12018558 -0.0570099 ],162
163,1,[-0.3693502   0.00545053  0.12018558 -0.0570099 ],[-0.36924118  0.19866255  0.11904538 -0.30948773],163
164,1,[-0.36924118  0.19866255  0.11904538 -0.30948773],[-0.36526793  0.39190495  0.11285562 -0.5623831 ],164
165,1,[-0.36526793  0.39190495  0.11285562 -0.5623831 ],[-0.35742983  0.5852774   0.10160796 -0.8174874 ],165
166,1,[-0.35742983  0.5852774   0.10160796 -0.8174874 ],[-0.34572428  0.77887255  0.08525821 -1.076561  ],166
167,1,[-0.34572428  0.77887255  0.08525821 -1.076561  ],[-0.33014682  0.9727711   0.06372699 -1.3413168 ],167
168,0,[-0.33014682  0.9727711   0.06372699 -1.3413168 ],[-0.31069142  0.77690756  0.03690065 -1.0293949 ],168
169,0,[-0.31069142  0.77690756  0.03690065 -1.0293949 ],[-0.29515326  0.5813145   0.01631276 -0.72535866],169
170,0,[-0.29515326  0.5813145   0.01631276 -0.72535866],[-0.28352696  0.38597083  0.00180558 -0.4275864 ],170
171,0,[-0.28352696  0.38597083  0.00180558 -0.4275864 ],[-0.27580756  0.19082336 -0.00674615 -0.13433483],171
172,0,[-0.27580756  0.19082336 -0.00674615 -0.13433483],[-0.27199107 -0.00420132 -0.00943284  0.15621217],172
173,0,[-0.27199107 -0.00420132 -0.00943284  0.15621217],[-0.27207512 -0.19918695 -0.0063086   0.4459044 ],173
174,0,[-0.27207512 -0.19918695 -0.0063086   0.4459044 ],[-0.27605885 -0.3942191   0.00260949  0.73659205],174
175,1,[-0.27605885 -0.3942191   0.00260949  0.73659205],[-0.28394324 -0.19913328  0.01734133  0.44473153],175
176,1,[-0.28394324 -0.19913328  0.01734133  0.44473153],[-0.2879259  -0.00426092  0.02623596  0.15756503],176
177,1,[-0.2879259  -0.00426092  0.02623596  0.15756503],[-0.2880111   0.19047578  0.02938726 -0.12672698],177
178,1,[-0.2880111   0.19047578  0.02938726 -0.12672698],[-0.2842016   0.38516468  0.02685272 -0.40999565],178
179,1,[-0.2842016   0.38516468  0.02685272 -0.40999565],[-0.27649832  0.57989585  0.01865281 -0.69409335],179
180,1,[-0.27649832  0.57989585  0.01865281 -0.69409335],[-0.2649004   0.77475417  0.00477094 -0.98084635],180
181,0,[-0.2649004   0.77475417  0.00477094 -0.98084635],[-0.24940531  0.57956856 -0.01484598 -0.68666863],181
182,0,[-0.24940531  0.57956856 -0.01484598 -0.68666863],[-0.23781393  0.38465583 -0.02857936 -0.3986963 ],182
183,0,[-0.23781393  0.38465583 -0.02857936 -0.3986963 ],[-0.23012082  0.18995072 -0.03655329 -0.1151591 ],183
184,0,[-0.23012082  0.18995072 -0.03655329 -0.1151591 ],[-0.2263218  -0.00462893 -0.03885647  0.16577113],184
185,0,[-0.2263218  -0.00462893 -0.03885647  0.16577113],[-0.22641438 -0.19917375 -0.03554104  0.44594714],185
186,0,[-0.22641438 -0.19917375 -0.03554104  0.44594714],[-0.23039787 -0.3937753  -0.0266221   0.72721833],186
187,0,[-0.23039787 -0.3937753  -0.0266221   0.72721833],[-0.23827337 -0.5885193  -0.01207773  1.0114048 ],187
188,0,[-0.23827337 -0.5885193  -0.01207773  1.0114048 ],[-0.25004375 -0.783478    0.00815036  1.3002708 ],188
189,0,[-0.25004375 -0.783478    0.00815036  1.3002708 ],[-0.2657133  -0.9787025   0.03415578  1.5954939 ],189
190,1,[-0.2657133  -0.9787025   0.03415578  1.5954939 ],[-0.28528735 -0.78400177  0.06606565  1.3136531 ],190
191,1,[-0.28528735 -0.78400177  0.06606565  1.3136531 ],[-0.3009674  -0.5897753   0.09233872  1.0423582 ],191
192,1,[-0.3009674  -0.5897753   0.09233872  1.0423582 ],[-0.31276292 -0.39599296  0.11318588  0.7800319 ],192
193,1,[-0.31276292 -0.39599296  0.11318588  0.7800319 ],[-0.32068276 -0.20259391  0.12878652  0.52499527],193
194,1,[-0.32068276 -0.20259391  0.12878652  0.52499527],[-0.32473463 -0.00949711  0.13928643  0.2755074 ],194
195,1,[-0.32473463 -0.00949711  0.13928643  0.2755074 ],[-0.3249246   0.18339124  0.14479657  0.0297949 ],195
196,1,[-0.3249246   0.18339124  0.14479657  0.0297949 ],[-0.32125676  0.37617195  0.14539246 -0.21392848],196
197,1,[-0.32125676  0.37617195  0.14539246 -0.21392848],[-0.3137333   0.5689484   0.14111389 -0.45744726],197
198,1,[-0.3137333   0.5689484   0.14111389 -0.45744726],[-0.30235437  0.7618229   0.13196495 -0.7025333 ],198
199,1,[-0.30235437  0.7618229   0.13196495 -0.7025333 ],[-0.2871179   0.95489293  0.11791429 -0.9509351 ],199
200,1,[-0.2871179   0.95489293  0.11791429 -0.9509351 ],[-0.26802003  1.1482474   0.09889559 -1.2043664 ],200
201,1,[-0.26802003  1.1482474   0.09889559 -1.2043664 ],[-0.2450551   1.3419619   0.07480825 -1.4644903 ],201
202,0,[-0.2450551   1.3419619   0.07480825 -1.4644903 ],[-0.21821585  1.1460075   0.04551845 -1.1494077 ],202
203,0,[-0.21821585  1.1460075   0.04551845 -1.1494077 ],[-0.1952957  0.9503219  0.0225303 -0.8428057],203
204,0,[-0.1952957  0.9503219  0.0225303 -0.8428057],[-0.17628926  0.75489986  0.00567418 -0.5431236 ],204
205,0,[-0.17628926  0.75489986  0.00567418 -0.5431236 ],[-0.16119127  0.55969864 -0.00518829 -0.24865824],205
206,0,[-0.16119127  0.55969864 -0.00518829 -0.24865824],[-0.1499973   0.36465114 -0.01016145  0.04238368],206
207,0,[-0.1499973   0.36465114 -0.01016145  0.04238368],[-0.14270426  0.16967636 -0.00931378  0.33184332],207
208,0,[-0.14270426  0.16967636 -0.00931378  0.33184332],[-0.13931075 -0.02531178 -0.00267691  0.62157464],208
209,1,[-0.13931075 -0.02531178 -0.00267691  0.62157464],[-0.13981698  0.16984746  0.00975458  0.32804984],209
210,1,[-0.13981698  0.16984746  0.00975458  0.32804984],[-0.13642003  0.36482918  0.01631558  0.03845896],210
211,1,[-0.13642003  0.36482918  0.01631558  0.03845896],[-0.12912345  0.5597134   0.01708476 -0.24903192],211
212,1,[-0.12912345  0.5597134   0.01708476 -0.24903192],[-0.11792918  0.7545873   0.01210412 -0.53627735],212
213,1,[-0.11792918  0.7545873   0.01210412 -0.53627735],[-0.10283743  0.9495369   0.00137857 -0.82512194],213
214,1,[-0.10283743  0.9495369   0.00137857 -0.82512194],[-0.0838467   1.14464    -0.01512387 -1.117371  ],214
215,1,[-0.0838467   1.14464    -0.01512387 -1.117371  ],[-0.06095389  1.3399571  -0.03747129 -1.4147594 ],215
216,0,[-0.06095389  1.3399571  -0.03747129 -1.4147594 ],[-0.03415475  1.1453189  -0.06576648 -1.1340209 ],216
217,0,[-0.03415475  1.1453189  -0.06576648 -1.1340209 ],[-0.01124837  0.9511164  -0.08844689 -0.8626683 ],217
218,0,[-0.01124837  0.9511164  -0.08844689 -0.8626683 ],[ 0.00777396  0.75730276 -0.10570026 -0.5990538 ],218
219,0,[ 0.00777396  0.75730276 -0.10570026 -0.5990538 ],[ 0.02292001  0.5638061  -0.11768134 -0.34144673],219
220,0,[ 0.02292001  0.5638061  -0.11768134 -0.34144673],[ 0.03419613  0.37053794 -0.12451027 -0.08806808],220
