,Action,State (Before),State (After),Total Reward
52,0,[ 0.26333615 -0.21700627 -0.08329123  0.6351651 ],[ 0.258996   -0.41087377 -0.07058793  0.9004989 ],52
53,1,[ 0.258996   -0.41087377 -0.07058793  0.9004989 ],[ 0.25077856 -0.21486999 -0.05257794  0.5864898 ],53
54,1,[ 0.25077856 -0.21486999 -0.05257794  0.5864898 ],[ 0.24648115 -0.01905259 -0.04084815  0.2777188 ],54
55,0,[ 0.24648115 -0.01905259 -0.04084815  0.2777188 ],[ 0.2461001  -0.2135687  -0.03529377  0.5572436 ],55
56,0,[ 0.2461001  -0.2135687  -0.03529377  0.5572436 ],[ 0.24182872 -0.40817788 -0.0241489   0.8386013 ],56
57,0,[ 0.24182872 -0.40817788 -0.0241489   0.8386013 ],[ 0.23366517 -0.6029619  -0.00737687  1.1235931 ],57
58,1,[ 0.23366517 -0.6029619  -0.00737687  1.1235931 ],[ 0.22160593 -0.407744    0.01509499  0.8286054 ],58
59,1,[ 0.22160593 -0.407744    0.01509499  0.8286054 ],[ 0.21345104 -0.21283165  0.03166709  0.54070795],59
60,1,[ 0.21345104 -0.21283165  0.03166709  0.54070795],[ 0.20919442 -0.01816879  0.04248125  0.25816864],60
61,1,[ 0.20919442 -0.01816879  0.04248125  0.25816864],[ 0.20883104  0.17632174  0.04764463 -0.02081824],61
62,1,[ 0.20883104  0.17632174  0.04764463 -0.02081824],[ 0.21235748  0.3707292   0.04722826 -0.29809627],62
63,1,[ 0.21235748  0.3707292   0.04722826 -0.29809627],[ 0.21977206  0.5651472   0.04126634 -0.5755182 ],63
64,1,[ 0.21977206  0.5651472   0.04126634 -0.5755182 ],[ 0.231075    0.7596671   0.02975597 -0.8549208 ],64
65,0,[ 0.231075    0.7596671   0.02975597 -0.8549208 ],[ 0.24626835  0.56415254  0.01265756 -0.5530318 ],65
66,0,[ 0.24626835  0.56415254  0.01265756 -0.5530318 ],[ 0.2575514   0.36885518  0.00159692 -0.25638795],66
67,1,[ 0.2575514   0.36885518  0.00159692 -0.25638795],[ 0.2649285   0.5639543  -0.00353084 -0.54856676],67
68,1,[ 0.2649285   0.5639543  -0.00353084 -0.54856676],[ 0.2762076   0.75912565 -0.01450217 -0.84236   ],68
69,1,[ 0.2762076   0.75912565 -0.01450217 -0.84236   ],[ 0.2913901   0.9544425  -0.03134937 -1.139568  ],69
70,0,[ 0.2913901   0.9544425  -0.03134937 -1.139568  ],[ 0.31047896  0.75974417 -0.05414073 -0.8568792 ],70
71,0,[ 0.31047896  0.75974417 -0.05414073 -0.8568792 ],[ 0.32567382  0.5654     -0.07127832 -0.5816997 ],71
72,0,[ 0.32567382  0.5654     -0.07127832 -0.5816997 ],[ 0.33698183  0.37134534 -0.08291231 -0.31229493],72
73,0,[ 0.33698183  0.37134534 -0.08291231 -0.31229493],[ 0.34440875  0.17749645 -0.08915821 -0.04686875],73
74,0,[ 0.34440875  0.17749645 -0.08915821 -0.04686875],[ 0.34795865 -0.01624141 -0.09009559  0.21640596],74
75,0,[ 0.34795865 -0.01624141 -0.09009559  0.21640596],[ 0.34763384 -0.2099676  -0.08576746  0.47936437],75
76,0,[ 0.34763384 -0.2099676  -0.08576746  0.47936437],[ 0.34343448 -0.4037807  -0.07618017  0.7438306 ],76
77,0,[ 0.34343448 -0.4037807  -0.07618017  0.7438306 ],[ 0.33535886 -0.5977732  -0.06130356  1.0116001 ],77
78,1,[ 0.33535886 -0.5977732  -0.06130356  1.0116001 ],[ 0.32340342 -0.4018892  -0.04107156  0.70031416],78
79,1,[ 0.32340342 -0.4018892  -0.04107156  0.70031416],[ 0.3153656  -0.20622268 -0.02706528  0.39499024],79
80,1,[ 0.3153656  -0.20622268 -0.02706528  0.39499024],[ 0.31124118 -0.01072737 -0.01916547  0.09389842],80
81,1,[ 0.31124118 -0.01072737 -0.01916547  0.09389842],[ 0.31102663  0.18466397 -0.01728751 -0.20476905],81
82,1,[ 0.31102663  0.18466397 -0.01728751 -0.20476905],[ 0.31471992  0.3800288  -0.02138289 -0.5028548 ],82
83,1,[ 0.31471992  0.3800288  -0.02138289 -0.5028548 ],[ 0.3223205   0.57544553 -0.03143998 -0.80219895],83
84,0,[ 0.3223205   0.57544553 -0.03143998 -0.80219895],[ 0.3338294   0.3807685  -0.04748396 -0.5195696 ],84
85,0,[ 0.3338294   0.3807685  -0.04748396 -0.5195696 ],[ 0.34144476  0.18634607 -0.05787535 -0.24221969],85
86,0,[ 0.34144476  0.18634607 -0.05787535 -0.24221969],[ 0.3451717  -0.00790347 -0.06271975  0.03166092],86
87,0,[ 0.3451717  -0.00790347 -0.06271975  0.03166092],[ 0.34501362 -0.20207253 -0.06208653  0.3039143 ],87
88,0,[ 0.34501362 -0.20207253 -0.06208653  0.3039143 ],[ 0.34097216 -0.39625725 -0.05600824  0.5763885 ],88
89,0,[ 0.34097216 -0.39625725 -0.05600824  0.5763885 ],[ 0.333047   -0.5905512  -0.04448047  0.8509146 ],89
90,0,[ 0.333047   -0.5905512  -0.04448047  0.8509146 ],[ 0.32123598 -0.78503937 -0.02746218  1.1292853 ],90
91,0,[ 0.32123598 -0.78503937 -0.02746218  1.1292853 ],[ 0.3055352  -0.9797911  -0.00487647  1.41323   ],91
92,1,[ 0.3055352  -0.9797911  -0.00487647  1.41323   ],[ 0.2859394  -0.7846091   0.02338812  1.1190267 ],92
93,1,[ 0.2859394  -0.7846091   0.02338812  1.1190267 ],[ 0.2702472  -0.5898016   0.04576866  0.83377093],93
94,1,[ 0.2702472  -0.5898016   0.04576866  0.83377093],[ 0.25845116 -0.39533392  0.06244408  0.55582607],94
95,1,[ 0.25845116 -0.39533392  0.06244408  0.55582607],[ 0.2505445  -0.20114169  0.0735606   0.28345212],95
96,1,[ 0.2505445  -0.20114169  0.0735606   0.28345212],[ 0.24652165 -0.00714182  0.07922964  0.01484659],96
97,1,[ 0.24652165 -0.00714182  0.07922964  0.01484659],[ 0.24637882  0.18675976  0.07952657 -0.2518242 ],97
98,1,[ 0.24637882  0.18675976  0.07952657 -0.2518242 ],[ 0.25011402  0.38066137  0.07449009 -0.51840115],98
99,1,[ 0.25011402  0.38066137  0.07449009 -0.51840115],[ 0.25772724  0.5746598   0.06412207 -0.7867121 ],99
100,1,[ 0.25772724  0.5746598   0.06412207 -0.7867121 ],[ 0.26922044  0.7688451   0.04838782 -1.0585524 ],100
101,0,[ 0.26922044  0.7688451   0.04838782 -1.0585524 ],[ 0.28459734  0.5731166   0.02721678 -0.75108284],101
102,0,[ 0.28459734  0.5731166   0.02721678 -0.75108284],[ 0.29605967  0.3776301   0.01219512 -0.44996095],102
103,0,[ 0.29605967  0.3776301   0.01219512 -0.44996095],[ 0.30361226  0.18233782  0.0031959  -0.15345901],103
104,0,[ 0.30361226  0.18233782  0.0031959  -0.15345901],[ 3.0725902e-01 -1.2829749e-02  1.2671809e-04  1.4023043e-01],104
105,0,[ 3.0725902e-01 -1.2829749e-02  1.2671809e-04  1.4023043e-01],[ 0.30700243 -0.20795351  0.00293133  0.43295333],105
106,0,[ 0.30700243 -0.20795351  0.00293133  0.43295333],[ 0.30284336 -0.40311685  0.01159039  0.72655886],106
107,1,[ 0.30284336 -0.40311685  0.01159039  0.72655886],[ 0.29478103 -0.20815705  0.02612157  0.43754634],107
108,1,[ 0.29478103 -0.20815705  0.02612157  0.43754634],[ 0.29061788 -0.01341439  0.0348725   0.15321088],108
109,1,[ 0.29061788 -0.01341439  0.0348725   0.15321088],[ 0.2903496   0.18119133  0.03793672 -0.1282698 ],109
110,1,[ 0.2903496   0.18119133  0.03793672 -0.1282698 ],[ 0.29397342  0.37574986  0.03537132 -0.4087469 ],110
111,1,[ 0.29397342  0.37574986  0.03537132 -0.4087469 ],[ 0.30148843  0.5703529   0.02719638 -0.6900719 ],111
112,1,[ 0.30148843  0.5703529   0.02719638 -0.6900719 ],[ 0.31289548  0.7650871   0.01339494 -0.9740704 ],112
113,1,[ 0.31289548  0.7650871   0.01339494 -0.9740704 ],[ 0.32819724  0.96002686 -0.00608647 -1.2625158 ],113
114,0,[ 0.32819724  0.96002686 -0.00608647 -1.2625158 ],[ 0.34739777  0.76498324 -0.03133678 -0.9717452 ],114
115,0,[ 0.34739777  0.76498324 -0.03133678 -0.9717452 ],[ 0.36269742  0.5702955  -0.05077168 -0.6890685 ],115
116,0,[ 0.36269742  0.5702955  -0.05077168 -0.6890685 ],[ 0.37410334  0.3759136  -0.06455305 -0.4127918 ],116
117,0,[ 0.37410334  0.3759136  -0.06455305 -0.4127918 ],[ 0.3816216   0.18176325 -0.07280889 -0.14113827],117
118,0,[ 0.3816216   0.18176325 -0.07280889 -0.14113827],[ 0.3852569  -0.0122445  -0.07563166  0.12771544],118
119,0,[ 0.3852569  -0.0122445  -0.07563166  0.12771544],[ 0.38501197 -0.2062061  -0.07307735  0.39561158],119
120,0,[ 0.38501197 -0.2062061  -0.07307735  0.39561158],[ 0.38088787 -0.4002192  -0.06516512  0.6643889 ],120
121,0,[ 0.38088787 -0.4002192  -0.06516512  0.6643889 ],[ 0.37288347 -0.59437704 -0.05187734  0.93586254],121
122,0,[ 0.37288347 -0.59437704 -0.05187734  0.93586254],[ 0.36099595 -0.7887624  -0.03316009  1.2118032 ],122
123,1,[ 0.36099595 -0.7887624  -0.03316009  1.2118032 ],[ 0.34522069 -0.59322846 -0.00892402  0.90891623],123
124,1,[ 0.34522069 -0.59322846 -0.00892402  0.90891623],[ 0.3333561  -0.39798686  0.0092543   0.6134419 ],124
125,1,[ 0.3333561  -0.39798686  0.0092543   0.6134419 ],[ 0.3253964  -0.20299543  0.02152314  0.323688  ],125
126,0,[ 0.3253964  -0.20299543  0.02152314  0.323688  ],[ 0.32133648 -0.39841715  0.0279969   0.62307996],126
127,0,[ 0.32133648 -0.39841715  0.0279969   0.62307996],[ 0.31336814 -0.59391856  0.0404585   0.92444724],127
128,1,[ 0.31336814 -0.59391856  0.0404585   0.92444724],[ 0.30148977 -0.3993658   0.05894744  0.64474845],128
129,1,[ 0.30148977 -0.3993658   0.05894744  0.64474845],[ 0.29350245 -0.20511273  0.07184241  0.37119544],129
130,1,[ 0.29350245 -0.20511273  0.07184241  0.37119544],[ 0.2894002  -0.01108106  0.07926632  0.1020022 ],130
131,1,[ 0.2894002  -0.01108106  0.07926632  0.1020022 ],[ 0.28917858  0.1828207   0.08130636 -0.16465728],131
132,1,[ 0.28917858  0.1828207   0.08130636 -0.16465728],[ 0.292835    0.3766903   0.07801322 -0.43062326],132
133,1,[ 0.292835    0.3766903   0.07801322 -0.43062326],[ 0.3003688   0.5706259   0.06940075 -0.69772923],133
134,1,[ 0.3003688   0.5706259   0.06940075 -0.69772923],[ 0.31178132  0.7647204   0.05544617 -0.9677826 ],134
135,1,[ 0.31178132  0.7647204   0.05544617 -0.9677826 ],[ 0.32707572  0.9590557   0.03609052 -1.2425449 ],135
136,0,[ 0.32707572  0.9590557   0.03609052 -1.2425449 ],[ 0.34625682  0.7634896   0.01123962 -0.93877846],136
137,0,[ 0.34625682  0.7634896   0.01123962 -0.93877846],[ 0.3615266   0.56821793 -0.00753595 -0.6425851 ],137
138,0,[ 0.3615266   0.56821793 -0.00753595 -0.6425851 ],[ 0.37289098  0.37320185 -0.02038765 -0.35228476],138
139,0,[ 0.37289098  0.37320185 -0.02038765 -0.35228476],[ 0.38035503  0.17837566 -0.02743335 -0.06609978],139
140,0,[ 0.38035503  0.17837566 -0.02743335 -0.06609978],[ 0.38392252 -0.01634245 -0.02875534  0.2178031 ],140
141,0,[ 0.38392252 -0.01634245 -0.02875534  0.2178031 ],[ 0.38359568 -0.2110418  -0.02439928  0.50127846],141
142,0,[ 0.38359568 -0.2110418  -0.02439928  0.50127846],[ 0.37937483 -0.40581146 -0.01437371  0.78617334],142
143,0,[ 0.37937483 -0.40581146 -0.01437371  0.78617334],[ 0.37125862 -0.60073304  0.00134976  1.0742997 ],143
144,1,[ 0.37125862 -0.60073304  0.00134976  1.0742997 ],[ 0.35924396 -0.40562892  0.02283575  0.7820407 ],144
145,1,[ 0.35924396 -0.40562892  0.02283575  0.7820407 ],[ 0.35113138 -0.21082817  0.03847656  0.49662888],145
146,1,[ 0.35113138 -0.21082817  0.03847656  0.49662888],[ 0.3469148  -0.0162693   0.04840914  0.21631588],146
147,1,[ 0.3469148  -0.0162693   0.04840914  0.21631588],[ 0.34658942  0.17812838  0.05273546 -0.0607123 ],147
148,1,[ 0.34658942  0.17812838  0.05273546 -0.0607123 ],[ 0.350152    0.3724561   0.05152121 -0.33630162],148
149,1,[ 0.350152    0.3724561   0.05152121 -0.33630162],[ 0.3576011   0.56680846  0.04479518 -0.6123028 ],149
150,1,[ 0.3576011   0.56680846  0.04479518 -0.6123028 ],[ 0.36893728  0.76127666  0.03254912 -0.8905471 ],150
151,0,[ 0.36893728  0.76127666  0.03254912 -0.8905471 ],[ 0.3841628   0.5657286   0.01473818 -0.5878126 ],151
152,0,[ 0.3841628   0.5657286   0.01473818 -0.5878126 ],[ 0.39547738  0.37040338  0.00298193 -0.2905237 ],152
153,0,[ 0.39547738  0.37040338  0.00298193 -0.2905237 ],[ 0.40288547  0.17523903 -0.00282854  0.00309819],153
154,0,[ 0.40288547  0.17523903 -0.00282854  0.00309819],[ 0.40639025 -0.01984224 -0.00276658  0.29488733],154
155,0,[ 0.40639025 -0.01984224 -0.00276658  0.29488733],[ 0.4059934  -0.21492465  0.00313117  0.58669645],155
156,0,[ 0.4059934  -0.21492465  0.00313117  0.58669645],[ 0.4016949  -0.4100903   0.0148651   0.88036406],156
157,1,[ 0.4016949  -0.4100903   0.0148651   0.88036406],[ 0.3934931  -0.21517342  0.03247238  0.5923912 ],157
158,1,[ 0.3934931  -0.21517342  0.03247238  0.5923912 ],[ 0.38918963 -0.02052075  0.0443202   0.3101113 ],158
159,1,[ 0.38918963 -0.02052075  0.0443202   0.3101113 ],[0.38877922 0.17394264 0.05052243 0.03172855],159
160,1,[0.38877922 0.17394264 0.05052243 0.03172855],[ 0.39225808  0.36830506  0.051157   -0.24459577],160
161,1,[ 0.39225808  0.36830506  0.051157   -0.24459577],[ 0.39962417  0.5626604   0.04626508 -0.5207138 ],161
162,1,[ 0.39962417  0.5626604   0.04626508 -0.5207138 ],[ 0.41087738  0.7571016   0.03585081 -0.79846644],162
163,1,[ 0.41087738  0.7571016   0.03585081 -0.79846644],[ 0.4260194   0.95171386  0.01988148 -1.0796593 ],163
164,1,[ 0.4260194   0.95171386  0.01988148 -1.0796593 ],[ 0.44505367  1.1465677  -0.00171171 -1.3660376 ],164
165,0,[ 0.44505367  1.1465677  -0.00171171 -1.3660376 ],[ 0.46798503  0.9514672  -0.02903246 -1.0738906 ],165
166,0,[ 0.46798503  0.9514672  -0.02903246 -1.0738906 ],[ 0.48701438  0.75674075 -0.05051027 -0.79045826],166
167,0,[ 0.48701438  0.75674075 -0.05051027 -0.79045826],[ 0.5021492   0.5623475  -0.06631944 -0.5140839 ],167
168,0,[ 0.5021492   0.5623475  -0.06631944 -0.5140839 ],[ 0.51339614  0.36821914 -0.07660112 -0.24301518],168
169,1,[ 0.51339614  0.36821914 -0.07660112 -0.24301518],[ 0.52076054  0.5643469  -0.08146141 -0.5588429 ],169
170,1,[ 0.52076054  0.5643469  -0.08146141 -0.5588429 ],[ 0.53204745  0.7605121  -0.09263828 -0.87603813],170
171,0,[ 0.53204745  0.7605121  -0.09263828 -0.87603813],[ 0.5472577   0.5667632  -0.11015904 -0.6138576 ],171
172,0,[ 0.5472577   0.5667632  -0.11015904 -0.6138576 ],[ 0.558593    0.373339   -0.12243619 -0.3578012 ],172
173,0,[ 0.558593    0.373339   -0.12243619 -0.3578012 ],[ 0.56605977  0.18015106 -0.12959221 -0.10609496],173
174,0,[ 0.56605977  0.18015106 -0.12959221 -0.10609496],[ 0.56966275 -0.01289861 -0.13171412  0.14305781],174
175,0,[ 0.56966275 -0.01289861 -0.13171412  0.14305781],[ 0.5694048  -0.20591238 -0.12885296  0.39145863],175
176,0,[ 0.5694048  -0.20591238 -0.12885296  0.39145863],[ 0.5652866  -0.39899272 -0.12102379  0.64090014],176
177,0,[ 0.5652866  -0.39899272 -0.12102379  0.64090014],[ 0.5573067  -0.5922382  -0.10820578  0.8931539 ],177
178,0,[ 0.5573067  -0.5922382  -0.10820578  0.8931539 ],[ 0.54546195 -0.7857393  -0.09034271  1.1499577 ],178
179,1,[ 0.54546195 -0.7857393  -0.09034271  1.1499577 ],[ 0.5297471  -0.589562   -0.06734356  0.830367  ],179
180,1,[ 0.5297471  -0.589562   -0.06734356  0.830367  ],[ 0.5179559  -0.39358735 -0.05073621  0.5172874 ],180
181,1,[ 0.5179559  -0.39358735 -0.05073621  0.5172874 ],[ 0.51008415 -0.1977891  -0.04039047  0.20905787],181
182,1,[ 0.51008415 -0.1977891  -0.04039047  0.20905787],[ 0.5061284  -0.0021136  -0.03620931 -0.09608757],182
183,1,[ 0.5061284  -0.0021136  -0.03620931 -0.09608757],[ 0.5060861   0.1935081  -0.03813106 -0.399971  ],183
184,1,[ 0.5060861   0.1935081  -0.03813106 -0.399971  ],[ 0.50995624  0.38914964 -0.04613048 -0.7044278 ],184
185,0,[ 0.50995624  0.38914964 -0.04613048 -0.7044278 ],[ 0.51773924  0.19469625 -0.06021903 -0.42661557],185
186,0,[ 0.51773924  0.19469625 -0.06021903 -0.42661557],[ 5.2163321e-01  4.7663154e-04 -6.8751343e-02 -1.5350790e-01],186
187,0,[ 5.2163321e-01  4.7663154e-04 -6.8751343e-02 -1.5350790e-01],[ 0.52164274 -0.19359699 -0.0718215   0.11671782],187
188,0,[ 0.52164274 -0.19359699 -0.0718215   0.11671782],[ 0.51777077 -0.3876203  -0.06948715  0.38590512],188
189,0,[ 0.51777077 -0.3876203  -0.06948715  0.38590512],[ 0.51001835 -0.58169055 -0.06176905  0.6558952 ],189
190,0,[ 0.51001835 -0.58169055 -0.06176905  0.6558952 ],[ 0.49838457 -0.77590066 -0.04865114  0.9285062 ],190
191,0,[ 0.49838457 -0.77590066 -0.04865114  0.9285062 ],[ 0.48286656 -0.9703332  -0.03008102  1.2055122 ],191
192,0,[ 0.48286656 -0.9703332  -0.03008102  1.2055122 ],[ 0.46345988 -1.1650538  -0.00597077  1.4886184 ],192
193,1,[ 0.46345988 -1.1650538  -0.00597077  1.4886184 ],[ 0.4401588  -0.9698596   0.02380159  1.194077  ],193
194,1,[ 0.4401588  -0.9698596   0.02380159  1.194077  ],[ 0.42076162 -0.77505386  0.04768313  0.9089481 ],194
195,1,[ 0.42076162 -0.77505386  0.04768313  0.9089481 ],[ 0.40526053 -0.5806086   0.0658621   0.6316253 ],195
196,1,[ 0.40526053 -0.5806086   0.0658621   0.6316253 ],[ 0.39364836 -0.38646442  0.0784946   0.36038986],196
197,1,[ 0.39364836 -0.38646442  0.0784946   0.36038986],[ 0.3859191  -0.19254088  0.0857024   0.09345397],197
198,1,[ 0.3859191  -0.19254088  0.0857024   0.09345397],[ 0.38206828  0.0012548   0.08757148 -0.171007  ],198
199,1,[ 0.38206828  0.0012548   0.08757148 -0.171007  ],[ 0.38209337  0.1950213   0.08415134 -0.4348299 ],199
200,1,[ 0.38209337  0.1950213   0.08415134 -0.4348299 ],[ 0.38599378  0.3888574   0.07545474 -0.6998438 ],200
201,1,[ 0.38599378  0.3888574   0.07545474 -0.6998438 ],[ 0.39377093  0.58285666  0.06145786 -0.9678521 ],201
202,0,[ 0.39377093  0.58285666  0.06145786 -0.9678521 ],[ 0.40542805  0.38696575  0.04210082 -0.6565132 ],202
203,0,[ 0.40542805  0.38696575  0.04210082 -0.6565132 ],[ 0.4131674   0.19128379  0.02897056 -0.3508764 ],203
204,0,[ 0.4131674   0.19128379  0.02897056 -0.3508764 ],[ 0.41699305 -0.00423793  0.02195303 -0.04920073],204
205,0,[ 0.41699305 -0.00423793  0.02195303 -0.04920073],[ 0.4169083  -0.19966768  0.02096902  0.25032693],205
206,0,[ 0.4169083  -0.19966768  0.02096902  0.25032693],[ 0.41291493 -0.3950827   0.02597556  0.54954946],206
207,1,[ 0.41291493 -0.3950827   0.02597556  0.54954946],[ 0.4050133  -0.20033507  0.03696654  0.2651625 ],207
208,1,[ 0.4050133  -0.20033507  0.03696654  0.2651625 ],[ 0.40100658 -0.0057597   0.04226979 -0.01563546],208
209,1,[ 0.40100658 -0.0057597   0.04226979 -0.01563546],[ 0.4008914   0.18873136  0.04195708 -0.29468784],209
210,1,[ 0.4008914   0.18873136  0.04195708 -0.29468784],[ 0.40466604  0.3832308   0.03606333 -0.5738485 ],210
211,1,[ 0.40466604  0.3832308   0.03606333 -0.5738485 ],[ 0.41233063  0.57782906  0.02458636 -0.8549558 ],211
212,0,[ 0.41233063  0.57782906  0.02458636 -0.8549558 ],[ 0.42388722  0.38238084  0.00748724 -0.55464435],212
213,0,[ 0.42388722  0.38238084  0.00748724 -0.55464435],[ 0.43153483  0.18715456 -0.00360564 -0.25961193],213
214,0,[ 0.43153483  0.18715456 -0.00360564 -0.25961193],[ 0.43527794 -0.00791573 -0.00879788  0.03193155],214
