,Action,State (Before),State (After),Total Reward
20,1,[ 0.09491038 -0.5797366  -0.01882408  0.99541175],[ 0.08331564 -0.38436797  0.00108416  0.6968768 ],20
21,1,[ 0.08331564 -0.38436797  0.00108416  0.6968768 ],[ 0.07562828 -0.18926106  0.01502169  0.40453538],21
22,1,[ 0.07562828 -0.18926106  0.01502169  0.40453538],[0.07184307 0.00564466 0.0231124  0.11662597],22
23,1,[0.07184307 0.00564466 0.0231124  0.11662597],[ 0.07195596  0.20042796  0.02544492 -0.16867651],23
24,1,[ 0.07195596  0.20042796  0.02544492 -0.16867651],[ 0.07596451  0.39517662  0.02207139 -0.45322496],24
25,1,[ 0.07596451  0.39517662  0.02207139 -0.45322496],[ 0.08386805  0.58997965  0.01300689 -0.73886985],25
26,1,[ 0.08386805  0.58997965  0.01300689 -0.73886985],[ 0.09566764  0.78491956 -0.00177051 -1.0274311 ],26
27,1,[ 0.09566764  0.78491956 -0.00177051 -1.0274311 ],[ 0.11136603  0.98006505 -0.02231913 -1.3206694 ],27
28,0,[ 0.11136603  0.98006505 -0.02231913 -1.3206694 ],[ 0.13096733  0.7852322  -0.04873252 -1.0350542 ],28
29,0,[ 0.13096733  0.7852322  -0.04873252 -1.0350542 ],[ 0.14667198  0.59079087 -0.0694336  -0.75806016],29
30,0,[ 0.14667198  0.59079087 -0.0694336  -0.75806016],[ 0.1584878   0.396691   -0.0845948  -0.48800892],30
31,0,[ 0.1584878   0.396691   -0.0845948  -0.48800892],[ 0.1664216   0.20285809 -0.09435498 -0.22314051],31
32,0,[ 0.1664216   0.20285809 -0.09435498 -0.22314051],[ 0.17047878  0.00920252 -0.09881779  0.03835153],32
33,0,[ 0.17047878  0.00920252 -0.09881779  0.03835153],[ 0.17066282 -0.18437374 -0.09805076  0.2982942 ],33
34,0,[ 0.17066282 -0.18437374 -0.09805076  0.2982942 ],[ 0.16697535 -0.37797123 -0.09208488  0.5585149 ],34
35,0,[ 0.16697535 -0.37797123 -0.09208488  0.5585149 ],[ 0.15941593 -0.5716881  -0.08091458  0.8208244 ],35
36,0,[ 0.15941593 -0.5716881  -0.08091458  0.8208244 ],[ 0.14798217 -0.76561517 -0.06449809  1.0870003 ],36
37,1,[ 0.14798217 -0.76561517 -0.06449809  1.0870003 ],[ 0.13266987 -0.5697046  -0.04275808  0.7747962 ],37
38,1,[ 0.13266987 -0.5697046  -0.04275808  0.7747962 ],[ 0.12127577 -0.37402138 -0.02726216  0.46897256],38
39,1,[ 0.12127577 -0.37402138 -0.02726216  0.46897256],[ 0.11379534 -0.17852512 -0.01788271  0.16782306],39
40,1,[ 0.11379534 -0.17852512 -0.01788271  0.16782306],[ 0.11022484  0.01684818 -0.01452625 -0.13044727],40
41,0,[ 0.11022484  0.01684818 -0.01452625 -0.13044727],[ 0.1105618  -0.1780627  -0.0171352   0.15761766],41
42,0,[ 0.1105618  -0.1780627  -0.0171352   0.15761766],[ 0.10700055 -0.3729352  -0.01398284  0.44484597],42
43,0,[ 0.10700055 -0.3729352  -0.01398284  0.44484597],[ 0.09954184 -0.56785655 -0.00508592  0.7330886 ],43
44,1,[ 0.09954184 -0.56785655 -0.00508592  0.7330886 ],[ 0.08818471 -0.3726647   0.00957585  0.43880934],44
45,1,[ 0.08818471 -0.3726647   0.00957585  0.43880934],[ 0.08073142 -0.17767957  0.01835204  0.14916033],45
46,1,[ 0.08073142 -0.17767957  0.01835204  0.14916033],[ 0.07717783  0.01717484  0.02133524 -0.13767688],46
47,1,[ 0.07717783  0.01717484  0.02133524 -0.13767688],[ 0.07752132  0.21198481  0.01858171 -0.42355323],47
48,1,[ 0.07752132  0.21198481  0.01858171 -0.42355323],[ 0.08176102  0.40683866  0.01011064 -0.71032083],48
49,1,[ 0.08176102  0.40683866  0.01011064 -0.71032083],[ 0.0898978   0.60181916 -0.00409578 -0.99980414],49
50,1,[ 0.0898978   0.60181916 -0.00409578 -0.99980414],[ 0.10193418  0.7969956  -0.02409186 -1.2937706 ],50
51,0,[ 0.10193418  0.7969956  -0.02409186 -1.2937706 ],[ 0.11787409  0.60218793 -0.04996727 -1.0087262 ],51
52,0,[ 0.11787409  0.60218793 -0.04996727 -1.0087262 ],[ 0.12991785  0.40776733 -0.07014179 -0.7321435 ],52
53,0,[ 0.12991785  0.40776733 -0.07014179 -0.7321435 ],[ 0.13807319  0.21368112 -0.08478466 -0.46233484],53
54,0,[ 0.13807319  0.21368112 -0.08478466 -0.46233484],[ 0.14234681  0.01985333 -0.09403136 -0.19753435],54
55,0,[ 0.14234681  0.01985333 -0.09403136 -0.19753435],[ 0.14274389 -0.17380667 -0.09798205  0.06406784],55
56,0,[ 0.14274389 -0.17380667 -0.09798205  0.06406784],[ 0.13926776 -0.36739722 -0.09670069  0.32430023],56
57,0,[ 0.13926776 -0.36739722 -0.09670069  0.32430023],[ 0.1319198  -0.5610188  -0.09021468  0.58499   ],57
58,0,[ 0.1319198  -0.5610188  -0.09021468  0.58499   ],[ 0.12069943 -0.75476897 -0.07851489  0.8479463 ],58
59,0,[ 0.12069943 -0.75476897 -0.07851489  0.8479463 ],[ 0.10560405 -0.9487372  -0.06155596  1.1149427 ],59
60,1,[ 0.10560405 -0.9487372  -0.06155596  1.1149427 ],[ 0.08662931 -0.7528635  -0.03925711  0.8036026 ],60
61,1,[ 0.08662931 -0.7528635  -0.03925711  0.8036026 ],[ 0.07157204 -0.55722594 -0.02318506  0.49883363],61
62,1,[ 0.07157204 -0.55722594 -0.02318506  0.49883363],[ 0.06042752 -0.3617849  -0.01320838  0.19893509],62
63,1,[ 0.06042752 -0.3617849  -0.01320838  0.19893509],[ 0.05319182 -0.16647656 -0.00922968 -0.09788503],63
64,1,[ 0.05319182 -0.16647656 -0.00922968 -0.09788503],[ 0.04986229  0.02877644 -0.01118738 -0.39346555],64
65,0,[ 0.04986229  0.02877644 -0.01118738 -0.39346555],[ 0.05043782 -0.16618498 -0.01905669 -0.10433075],65
66,0,[ 0.05043782 -0.16618498 -0.01905669 -0.10433075],[ 0.04711412 -0.36102873 -0.02114331  0.18227947],66
67,0,[ 0.04711412 -0.36102873 -0.02114331  0.18227947],[ 0.03989354 -0.55584186 -0.01749772  0.46821818],67
68,0,[ 0.03989354 -0.55584186 -0.01749772  0.46821818],[ 0.02877671 -0.7507123  -0.00813336  0.75533503],68
69,0,[ 0.02877671 -0.7507123  -0.00813336  0.75533503],[ 0.01376246 -0.9457212   0.00697334  1.0454475 ],69
70,0,[ 0.01376246 -0.9457212   0.00697334  1.0454475 ],[-0.00515196 -1.1409351   0.02788229  1.3403113 ],70
71,1,[-0.00515196 -1.1409351   0.02788229  1.3403113 ],[-0.02797066 -0.9461749   0.05468852  1.056481  ],71
72,1,[-0.02797066 -0.9461749   0.05468852  1.056481  ],[-0.04689416 -0.7518187   0.07581814  0.78145295],72
73,1,[-0.04689416 -0.7518187   0.07581814  0.78145295],[-0.06193054 -0.55781627  0.0914472   0.51355445],73
74,1,[-0.06193054 -0.55781627  0.0914472   0.51355445],[-0.07308687 -0.3640932   0.10171829  0.25103208],74
75,1,[-0.07308687 -0.3640932   0.10171829  0.25103208],[-0.08036873 -0.17055978  0.10673893 -0.00791391],75
76,1,[-0.08036873 -0.17055978  0.10673893 -0.00791391],[-0.08377992  0.02288234  0.10658065 -0.26510403],76
77,1,[-0.08377992  0.02288234  0.10658065 -0.26510403],[-0.08332228  0.21633443  0.10127857 -0.52236015],77
78,1,[-0.08332228  0.21633443  0.10127857 -0.52236015],[-0.07899559  0.40989596  0.09083137 -0.7814896 ],78
79,1,[-0.07899559  0.40989596  0.09083137 -0.7814896 ],[-0.07079767  0.6036598   0.07520158 -1.0442696 ],79
80,1,[-0.07079767  0.6036598   0.07520158 -1.0442696 ],[-0.05872447  0.7977071   0.05431619 -1.3124294 ],80
81,1,[-0.05872447  0.7977071   0.05431619 -1.3124294 ],[-0.04277033  0.9921009   0.0280676  -1.587629  ],81
82,0,[-0.04277033  0.9921009   0.0280676  -1.587629  ],[-0.02292831  0.7966569  -0.00368498 -1.2863276 ],82
83,0,[-0.02292831  0.7966569  -0.00368498 -1.2863276 ],[-0.00699517  0.60158205 -0.02941153 -0.99480075],83
84,0,[-0.00699517  0.60158205 -0.02941153 -0.99480075],[ 0.00503647  0.4068656  -0.04930755 -0.7114981 ],84
85,0,[ 0.00503647  0.4068656  -0.04930755 -0.7114981 ],[ 0.01317378  0.21245985 -0.06353751 -0.43473443],85
86,0,[ 0.01317378  0.21245985 -0.06353751 -0.43473443],[ 0.01742298  0.01829224 -0.07223219 -0.16273819],86
87,0,[ 0.01742298  0.01829224 -0.07223219 -0.16273819],[ 0.01778882 -0.17572533 -0.07548696  0.10631146],87
88,0,[ 0.01778882 -0.17572533 -0.07548696  0.10631146],[ 0.01427431 -0.3696889  -0.07336073  0.3742562 ],88
89,0,[ 0.01427431 -0.3696889  -0.07336073  0.3742562 ],[ 0.00688054 -0.56369627 -0.0658756   0.6429358 ],89
90,0,[ 0.00688054 -0.56369627 -0.0658756   0.6429358 ],[-0.00439339 -0.75784117 -0.05301689  0.9141681 ],90
91,0,[-0.00439339 -0.75784117 -0.05301689  0.9141681 ],[-0.01955021 -0.9522075  -0.03473353  1.1897283 ],91
92,1,[-0.01955021 -0.9522075  -0.03473353  1.1897283 ],[-0.03859437 -0.756653   -0.01093896  0.88636386],92
93,1,[-0.03859437 -0.756653   -0.01093896  0.88636386],[-0.05372743 -0.5613843   0.00678831  0.5902623 ],93
94,1,[-0.05372743 -0.5613843   0.00678831  0.5902623 ],[-0.06495511 -0.36635804  0.01859356  0.2997254 ],94
95,1,[-0.06495511 -0.36635804  0.01859356  0.2997254 ],[-0.07228227 -0.171506    0.02458807  0.01296405],95
96,0,[-0.07228227 -0.171506    0.02458807  0.01296405],[-0.07571239 -0.3669718   0.02484735  0.31330228],96
97,0,[-0.07571239 -0.3669718   0.02484735  0.31330228],[-0.08305183 -0.5624387   0.03111339  0.61371654],97
98,1,[-0.08305183 -0.5624387   0.03111339  0.61371654],[-0.0943006  -0.36776507  0.04338773  0.33099324],98
99,1,[-0.0943006  -0.36776507  0.04338773  0.33099324],[-0.1016559  -0.1732867   0.05000759  0.05230223],99
100,1,[-0.1016559  -0.1732867   0.05000759  0.05230223],[-0.10512163  0.02108386  0.05105363 -0.22419304],100
101,1,[-0.10512163  0.02108386  0.05105363 -0.22419304],[-0.10469996  0.21544036  0.04656977 -0.5003447 ],101
102,1,[-0.10469996  0.21544036  0.04656977 -0.5003447 ],[-0.10039115  0.40987593  0.03656288 -0.7779953 ],102
103,1,[-0.10039115  0.40987593  0.03656288 -0.7779953 ],[-0.09219363  0.6044766   0.02100297 -1.058954  ],103
104,1,[-0.09219363  0.6044766   0.02100297 -1.058954  ],[-8.0104105e-02  7.9931408e-01 -1.7610675e-04 -1.3449714e+00],104
105,0,[-8.0104105e-02  7.9931408e-01 -1.7610675e-04 -1.3449714e+00],[-0.06411782  0.60419434 -0.02707553 -1.0523436 ],105
106,0,[-0.06411782  0.60419434 -0.02707553 -1.0523436 ],[-0.05203393  0.40944168 -0.04812241 -0.7682809 ],106
107,0,[-0.05203393  0.40944168 -0.04812241 -0.7682809 ],[-0.0438451   0.21501404 -0.06348803 -0.4911196 ],107
108,0,[-0.0438451   0.21501404 -0.06348803 -0.4911196 ],[-0.03954482  0.02084241 -0.07331042 -0.21910189],108
109,0,[-0.03954482  0.02084241 -0.07331042 -0.21910189],[-0.03912797 -0.1731592  -0.07769246  0.04958492],109
110,0,[-0.03912797 -0.1731592  -0.07769246  0.04958492],[-0.04259115 -0.3670861  -0.07670075  0.3167792 ],110
111,0,[-0.04259115 -0.3670861  -0.07670075  0.3167792 ],[-0.04993288 -0.5610365  -0.07036518  0.5843216 ],111
112,0,[-0.04993288 -0.5610365  -0.07036518  0.5843216 ],[-0.06115361 -0.7551059  -0.05867874  0.85403496],112
113,0,[-0.06115361 -0.7551059  -0.05867874  0.85403496],[-0.07625572 -0.9493811  -0.04159804  1.1277045 ],113
114,0,[-0.07625572 -0.9493811  -0.04159804  1.1277045 ],[-0.09524335 -1.1439341  -0.01904395  1.4070554 ],114
115,0,[-0.09524335 -1.1439341  -0.01904395  1.4070554 ],[-0.11812203 -1.3388146   0.00909716  1.6937245 ],115
116,1,[-0.11812203 -1.3388146   0.00909716  1.6937245 ],[-0.14489833 -1.1437988   0.04297165  1.4038875 ],116
117,1,[-0.14489833 -1.1437988   0.04297165  1.4038875 ],[-0.1677743 -0.9492361  0.0710494  1.1249425],117
118,1,[-0.1677743 -0.9492361  0.0710494  1.1249425],[-0.18675902 -0.7551136   0.09354825  0.85536444],118
119,1,[-0.18675902 -0.7551136   0.09354825  0.85536444],[-0.20186129 -0.5613825   0.11065554  0.59350145],119
120,1,[-0.20186129 -0.5613825   0.11065554  0.59350145],[-0.21308894 -0.36796921  0.12252557  0.33762228],120
121,1,[-0.21308894 -0.36796921  0.12252557  0.33762228],[-0.22044833 -0.17478448  0.12927802  0.08595006],121
122,1,[-0.22044833 -0.17478448  0.12927802  0.08595006],[-0.22394402  0.01827018  0.13099702 -0.16331348],122
123,1,[-0.22394402  0.01827018  0.13099702 -0.16331348],[-0.22357862  0.21129727  0.12773074 -0.41197032],123
124,1,[-0.22357862  0.21129727  0.12773074 -0.41197032],[-0.21935268  0.40439907  0.11949134 -0.66181254],124
125,1,[-0.21935268  0.40439907  0.11949134 -0.66181254],[-0.21126468  0.5976736   0.10625508 -0.91461015],125
126,1,[-0.21126468  0.5976736   0.10625508 -0.91461015],[-0.19931123  0.79121035  0.08796288 -1.1720978 ],126
127,0,[-0.19931123  0.79121035  0.08796288 -1.1720978 ],[-0.18348701  0.5950619   0.06452093 -0.85318494],127
128,0,[-0.18348701  0.5950619   0.06452093 -0.85318494],[-0.17158577  0.3991226   0.04745723 -0.5409315 ],128
129,0,[-0.17158577  0.3991226   0.04745723 -0.5409315 ],[-0.16360332  0.20336685  0.0366386  -0.2336813 ],129
130,0,[-0.16360332  0.20336685  0.0366386  -0.2336813 ],[-0.15953599  0.00774107  0.03196497  0.07032976],130
131,0,[-0.15953599  0.00774107  0.03196497  0.07032976],[-0.15938117 -0.18782422  0.03337157  0.37292394],131
132,1,[-0.15938117 -0.18782422  0.03337157  0.37292394],[-0.16313764  0.00680816  0.04083005  0.09094735],132
133,1,[-0.16313764  0.00680816  0.04083005  0.09094735],[-0.16300148  0.20132181  0.04264899 -0.18857926],133
134,1,[-0.16300148  0.20132181  0.04264899 -0.18857926],[-0.15897505  0.39580846  0.03887741 -0.46750897],134
135,1,[-0.15897505  0.39580846  0.03887741 -0.46750897],[-0.15105888  0.5903602   0.02952723 -0.74768895],135
136,1,[-0.15105888  0.5903602   0.02952723 -0.74768895],[-0.13925168  0.7850626   0.01457345 -1.0309355 ],136
137,1,[-0.13925168  0.7850626   0.01457345 -1.0309355 ],[-0.12355042  0.9799877  -0.00604526 -1.3190076 ],137
138,0,[-0.12355042  0.9799877  -0.00604526 -1.3190076 ],[-0.10395067  0.7849427  -0.03242541 -1.0282228 ],138
139,0,[-0.10395067  0.7849427  -0.03242541 -1.0282228 ],[-0.08825181  0.59026694 -0.05298987 -0.74589413],139
140,0,[-0.08825181  0.59026694 -0.05298987 -0.74589413],[-0.07644647  0.3959147  -0.06790775 -0.47034663],140
141,0,[-0.07644647  0.3959147  -0.06790775 -0.47034663],[-0.06852818  0.2018144  -0.07731469 -0.1998168 ],141
142,0,[-0.06852818  0.2018144  -0.07731469 -0.1998168 ],[-0.0644919   0.00787848 -0.08131102  0.06751018],142
143,0,[-0.0644919   0.00787848 -0.08131102  0.06751018],[-0.06433433 -0.18598926 -0.07996082  0.33347192],143
144,0,[-0.06433433 -0.18598926 -0.07996082  0.33347192],[-0.06805411 -0.3798875  -0.07329138  0.5999065 ],144
145,0,[-0.06805411 -0.3798875  -0.07329138  0.5999065 ],[-0.07565186 -0.57391167 -0.06129325  0.8686331 ],145
146,0,[-0.07565186 -0.57391167 -0.06129325  0.8686331 ],[-0.08713009 -0.76814854 -0.04392059  1.1414324 ],146
147,1,[-0.08713009 -0.76814854 -0.04392059  1.1414324 ],[-0.10249306 -0.5724809  -0.02109194  0.83530545],147
148,1,[-0.10249306 -0.5724809  -0.02109194  0.83530545],[-0.11394268 -0.3770773  -0.00438583  0.5360646 ],148
149,1,[-0.11394268 -0.3770773  -0.00438583  0.5360646 ],[-0.12148423 -0.18189396  0.00633546  0.24200301],149
150,1,[-0.12148423 -0.18189396  0.00633546  0.24200301],[-0.12512212  0.01313692  0.01117552 -0.04867483],150
151,1,[-0.12512212  0.01313692  0.01117552 -0.04867483],[-0.12485937  0.20809686  0.01020202 -0.33781093],151
152,1,[-0.12485937  0.20809686  0.01020202 -0.33781093],[-0.12069743  0.40307215  0.00344581 -0.6272593 ],152
153,0,[-0.12069743  0.40307215  0.00344581 -0.6272593 ],[-0.11263599  0.20790228 -0.00909938 -0.33349317],153
154,0,[-0.11263599  0.20790228 -0.00909938 -0.33349317],[-0.10847794  0.01291101 -0.01576925 -0.04369358],154
155,0,[-0.10847794  0.01291101 -0.01576925 -0.04369358],[-0.10821973 -0.18198131 -0.01664312  0.24397258],155
156,1,[-0.10821973 -0.18198131 -0.01664312  0.24397258],[-0.11185935  0.01337436 -0.01176366 -0.05391318],156
157,1,[-0.11185935  0.01337436 -0.01176366 -0.05391318],[-0.11159186  0.208663   -0.01284193 -0.3502843 ],157
158,1,[-0.11159186  0.208663   -0.01284193 -0.3502843 ],[-0.1074186   0.4039652  -0.01984761 -0.64698887],158
159,1,[-0.1074186   0.4039652  -0.01984761 -0.64698887],[-0.0993393   0.59935796 -0.03278739 -0.94585514],159
160,0,[-0.0993393   0.59935796 -0.03278739 -0.94585514],[-0.08735214  0.40469262 -0.0517045  -0.66365176],160
161,0,[-0.08735214  0.40469262 -0.0517045  -0.66365176],[-0.07925829  0.21032664 -0.06497753 -0.3876868 ],161
162,0,[-0.07925829  0.21032664 -0.06497753 -0.3876868 ],[-0.07505175  0.01618431 -0.07273126 -0.1161778 ],162
163,1,[-0.07505175  0.01618431 -0.07273126 -0.1161778 ],[-0.07472807  0.21226895 -0.07505482 -0.4308913 ],163
164,1,[-0.07472807  0.21226895 -0.07505482 -0.4308913 ],[-0.07048269  0.408369   -0.08367265 -0.7462587 ],164
165,0,[-0.07048269  0.408369   -0.08367265 -0.7462587 ],[-0.06231531  0.21449511 -0.09859782 -0.4810363 ],165
166,0,[-0.06231531  0.21449511 -0.09859782 -0.4810363 ],[-0.05802541  0.0208931  -0.10821855 -0.22098453],166
167,0,[-0.05802541  0.0208931  -0.10821855 -0.22098453],[-0.05760755 -0.17252897 -0.11263824  0.03569713],167
168,0,[-0.05760755 -0.17252897 -0.11263824  0.03569713],[-0.06105813 -0.36587057 -0.1119243   0.29082605],168
169,0,[-0.06105813 -0.36587057 -0.1119243   0.29082605],[-0.06837554 -0.5592334  -0.10610777  0.5462185 ],169
170,0,[-0.06837554 -0.5592334  -0.10610777  0.5462185 ],[-0.07956021 -0.7527171  -0.0951834   0.8036745 ],170
171,0,[-0.07956021 -0.7527171  -0.0951834   0.8036745 ],[-0.09461455 -0.94641405 -0.07910991  1.0649631 ],171
172,0,[-0.09461455 -0.94641405 -0.07910991  1.0649631 ],[-0.11354282 -1.1404049  -0.05781065  1.3318053 ],172
173,1,[-0.11354282 -1.1404049  -0.05781065  1.3318053 ],[-0.13635093 -0.9446036  -0.03117454  1.021607  ],173
174,1,[-0.13635093 -0.9446036  -0.03117454  1.021607  ],[-0.155243   -0.7490805  -0.0107424   0.71930104],174
175,1,[-0.155243   -0.7490805  -0.0107424   0.71930104],[-0.1702246  -0.55381155  0.00364362  0.42325637],175
176,0,[-0.1702246  -0.55381155  0.00364362  0.42325637],[-0.18130083 -0.74898493  0.01210875  0.7170857 ],176
177,0,[-0.18130083 -0.74898493  0.01210875  0.7170857 ],[-0.19628054 -0.94427234  0.02645046  1.0135553 ],177
178,0,[-0.19628054 -0.94427234  0.02645046  1.0135553 ],[-0.21516599 -1.139737    0.04672156  1.3144251 ],178
179,1,[-0.21516599 -1.139737    0.04672156  1.3144251 ],[-0.23796073 -0.9452364   0.07301006  1.0367239 ],179
180,1,[-0.23796073 -0.9452364   0.07301006  1.0367239 ],[-0.25686544 -0.75115687  0.09374455  0.76782596],180
181,1,[-0.25686544 -0.75115687  0.09374455  0.76782596],[-0.27188858 -0.5574419   0.10910106  0.5060499 ],181
182,1,[-0.27188858 -0.5574419   0.10910106  0.5060499 ],[-0.28303742 -0.3640128   0.11922206  0.24964345],182
183,1,[-0.28303742 -0.3640128   0.11922206  0.24964345],[-0.29031768 -0.1707773   0.12421493 -0.00318396],183
184,1,[-0.29031768 -0.1707773   0.12421493 -0.00318396],[-0.29373324  0.02236456  0.12415125 -0.25423923],184
185,1,[-0.29373324  0.02236456  0.12415125 -0.25423923],[-0.29328594  0.21551533  0.11906646 -0.50532866],185
186,1,[-0.29328594  0.21551533  0.11906646 -0.50532866],[-0.28897563  0.40877587  0.10895989 -0.7582441 ],186
187,1,[-0.28897563  0.40877587  0.10895989 -0.7582441 ],[-0.2808001   0.6022411   0.09379501 -1.0147501 ],187
188,1,[-0.2808001   0.6022411   0.09379501 -1.0147501 ],[-0.2687553   0.7959955   0.07350001 -1.2765689 ],188
189,0,[-0.2687553   0.7959955   0.07350001 -1.2765689 ],[-0.2528354   0.6000173   0.04796863 -0.9618058 ],189
190,0,[-0.2528354   0.6000173   0.04796863 -0.9618058 ],[-0.24083504  0.4042847   0.02873251 -0.6544472 ],190
191,0,[-0.24083504  0.4042847   0.02873251 -0.6544472 ],[-0.23274934  0.2087747   0.01564357 -0.35285708],191
192,1,[-0.23274934  0.2087747   0.01564357 -0.35285708],[-0.22857384  0.40367076  0.00858643 -0.64056635],192
193,1,[-0.22857384  0.40367076  0.00858643 -0.64056635],[-0.22050044  0.598672   -0.0042249  -0.930533  ],193
194,1,[-0.22050044  0.598672   -0.0042249  -0.930533  ],[-0.208527    0.79385066 -0.02283556 -1.2245406 ],194
195,1,[-0.208527    0.79385066 -0.02283556 -1.2245406 ],[-0.19264999  0.9892591  -0.04732637 -1.52429   ],195
196,0,[-0.19264999  0.9892591  -0.04732637 -1.52429   ],[-0.1728648   0.79473954 -0.07781217 -1.246746  ],196
197,0,[-0.1728648   0.79473954 -0.07781217 -1.246746  ],[-0.15697001  0.6006969  -0.10274709 -0.9794165 ],197
198,0,[-0.15697001  0.6006969  -0.10274709 -0.9794165 ],[-0.14495607  0.4070912  -0.12233542 -0.720694  ],198
199,0,[-0.14495607  0.4070912  -0.12233542 -0.720694  ],[-0.13681425  0.213855   -0.1367493  -0.46888292],199
200,0,[-0.13681425  0.213855   -0.1367493  -0.46888292],[-0.13253714  0.02090301 -0.14612696 -0.22223605],200
201,0,[-0.13253714  0.02090301 -0.14612696 -0.22223605],[-0.13211909 -0.17186095 -0.15057167  0.0210197 ],201
202,0,[-0.13211909 -0.17186095 -0.15057167  0.0210197 ],[-0.13555631 -0.36453882 -0.15015128  0.26266542],202
203,0,[-0.13555631 -0.36453882 -0.15015128  0.26266542],[-0.14284708 -0.55723417 -0.14489798  0.5044775 ],203
204,0,[-0.14284708 -0.55723417 -0.14489798  0.5044775 ],[-0.15399176 -0.75004876 -0.13480844  0.7482174 ],204
205,0,[-0.15399176 -0.75004876 -0.13480844  0.7482174 ],[-0.16899274 -0.94307894 -0.11984408  0.9956219 ],205
206,0,[-0.16899274 -0.94307894 -0.11984408  0.9956219 ],[-0.18785432 -1.136412   -0.09993164  1.2483915 ],206
207,0,[-0.18785432 -1.136412   -0.09993164  1.2483915 ],[-0.21058255 -1.3301209  -0.07496382  1.5081743 ],207
208,1,[-0.21058255 -1.3301209  -0.07496382  1.5081743 ],[-0.23718497 -1.1341745  -0.04480033  1.1930614 ],208
209,1,[-0.23718497 -1.1341745  -0.04480033  1.1930614 ],[-0.25986847 -0.93850183 -0.0209391   0.88668   ],209
210,1,[-0.25986847 -0.93850183 -0.0209391   0.88668   ],[-0.2786385  -0.743102   -0.0032055   0.58748883],210
211,1,[-0.2786385  -0.743102   -0.0032055   0.58748883],[-0.29350054 -0.5479353   0.00854428  0.29379788],211
212,1,[-0.29350054 -0.5479353   0.00854428  0.29379788],[-0.30445924 -0.3529362   0.01442024  0.00382191],212
213,1,[-0.30445924 -0.3529362   0.01442024  0.00382191],[-0.31151798 -0.15802398  0.01449667 -0.2842766 ],213
214,0,[-0.31151798 -0.15802398  0.01449667 -0.2842766 ],[-0.31467846 -0.35334966  0.00881114  0.012943  ],214
215,0,[-0.31467846 -0.35334966  0.00881114  0.012943  ],[-0.32174546 -0.54859686  0.00907     0.30839288],215
216,0,[-0.32174546 -0.54859686  0.00907     0.30839288],[-0.3327174  -0.7438469   0.01523786  0.60392237],216
217,1,[-0.3327174  -0.7438469   0.01523786  0.60392237],[-0.34759432 -0.5489413   0.02731631  0.31607774],217
218,1,[-0.34759432 -0.5489413   0.02731631  0.31607774],[-0.35857314 -0.35421887  0.03363786  0.03213306],218
219,1,[-0.35857314 -0.35421887  0.03363786  0.03213306],[-0.36565754 -0.15959506  0.03428052 -0.24974987],219
